# Start logging at 2022-10-12 05:10:55 Tokyo Standard Time
[05:10:55] connected
[08:54:53] ktrZetto is live!
[08:54:55]  shotmaker93: AAAAAAAAAA
[10:41:42]  chisasfam: exactly we are best friends zetto
[10:41:53]  asimplyokgamer: I can’t wait to see the day when a gal pays for MY meal
[10:41:56]  kaeos: means she was using him to get free food
[10:42:06]  chisasfam: nah but fr ya'll will all find the right ppl for you all!!
[10:42:19]  kaeos: train isnt misogynistic
[10:42:21]  kaeos: he just keeps it real
[10:42:32]  chisasfam: @kaeos he just chill dude
[10:42:36]  asimplyokgamer: I’ll just put a wig and some lipstick on my hand ktrzetSmile bam perfecto
[10:42:39]  chisasfam: he knows whats up smh smh
[10:42:59]  shotmaker93: a trap
[10:43:08]  kaeos: dont worry im sure youll all have beautiful wives and husbands in the METAverse
[10:43:13]  chisasfam: @ASimplyOkGamer add some spice, let the other hand join
[10:43:39]  chisasfam: @kaeos Not me, the only verse ill be in is your verse <3
[10:43:39]  asimplyokgamer: @chisasfam LUL
[10:43:55]  kaeos: no
[10:43:57]  kaeos: you are british
[10:44:04]  chisasfam: IM NOT BRITISH KAEOS
[10:44:17]  chisasfam: smh
[10:44:19]  kaeos: also you have a dick
[10:44:23]  chisasfam: see zetto knows whats up
[10:44:29]  kaeos: which is honestly less disgusting than the british part
[10:44:42]  shotmaker93: haha
[10:44:46]  chisasfam: @kaeos I can be whatever you want me to be kaoes
[10:44:48]  chisasfam: kaeos
[10:45:23]  asimplyokgamer: Seen that southpark episode with cartman and his wigged hand? Like that
[10:45:49]  chisasfam: russia threatened to nuke the uk a few months / weeks ago
[10:45:50]  shotmaker93: I is European
[10:45:55]  chisasfam: and explained how they would do it
[10:45:55]  kaeos: im glad i wasnt european circa 1350
[10:46:04]  shotmaker93: xD
[10:46:06]  chisasfam: the submarine they said theyd use, left its bse 2 days ago
[10:46:16]  chisasfam: base*
[10:46:52]  shotmaker93: and the gas
[10:47:04]  kaeos: are they still dying of heat stroke
[10:47:14]  kaeos: black plague
[10:47:38]  asimplyokgamer: Bro I heard apparently in Cali, doctors can’t say anything that goes against what politicians say else they’ll lose their license
[10:48:13]  chisasfam: a few new European leaders are fascist , the new italian leader is ,
[10:48:17]  chisasfam: and idk which other ones are too
[10:48:21]  chisasfam: but theres like 3 of them
[10:48:36]  shotmaker93: @Chisasfam that's BS
[10:48:46]  kaeos: WW3 PogChamp
[10:48:50]  chisasfam: @Shotmaker93 nope
[10:48:59]  shotmaker93: dude i liv ein fucking italy
[10:49:08]  kaeos: italians are the most oppressed race
[10:49:16]  chisasfam: @Shotmaker93 the whole of like twt was going on about the new leader being fascist
[10:49:49]  chisasfam: @kaeos they arent real
[10:49:59]  shotmaker93: is bc Europe wants to ge tin our business in fucking italy so we said no
[10:50:06]  asimplyokgamer: Simple zetto, just don’t die ktrzetCool
[10:50:19]  chisasfam: so she wants italy to leave the EU maybe like UK ?
[10:50:33]  kaeos: now that i think about it, why would you choose to be born italian
[10:50:39]  kaeos: like ppl make fun of u like i cooka da spaghetti
[10:50:44]  chisasfam: yeah fr
[10:50:47]  shotmaker93: when the lefty were on they spread our cheeks and we accepted shits, now we try to make it change so we pass as fascists, go figure
[10:51:02]  chisasfam: like  why would you choose to be american too
[10:51:19]  kaeos: i snap my spaghetti to fit it in the pot when i make pasta just to spite italians
[10:51:26]  chisasfam: @Shotmaker93 i see
[10:51:36]  asimplyokgamer: I love bein American, it’s easy mode compared to a lot of places
[10:51:40]  chisasfam: I dont use spahetti, I use penne and the twirly one
[10:51:47]  chisasfam: @ASimplyOkGamer L take T-T
[10:51:55]  shotmaker93: @kaeos i'd snap your tiny wirsts
[10:52:03]  kaeos: bc then the one half is slightly more tender than the other
[10:52:18]  asimplyokgamer: Even better, I’m Texan, so Guns
[10:52:54]  chisasfam: Id rather live in England than America
[10:52:59]  chisasfam: and I have living in england
[10:53:07]  chisasfam: hate*
[10:53:21]  kaeos: i bet LA gets nuked first in the event of war where US is involved
[10:53:25]  asimplyokgamer: Don’t y’all have a TV tax?
[10:53:40]  chisasfam: @ASimplyOkGamer TV license, because the BBC and ITV dont run ads
[10:53:47]  chisasfam: unless you get cable tv
[10:53:55]  chisasfam: even then most of us dont really watch tv
[10:54:00]  kaeos: "u got a license to watch that television?" LULW
[10:54:30]  shotmaker93: can't be worst than China
[10:54:56]  asimplyokgamer: I’m not really in an area they’d wanna hit. It’d start shit with Mexico too
[10:55:01]  chisasfam: the UK nuke hotspots are Liverpool , Manchester, London , Glasgow and Edinbrugh
[10:55:36]  chisasfam: you can just say "I dont watch tv" and they cant really prove that you do unless they see you doing it
[10:56:06]  kaeos: why arent you playing overwatch 2
[10:56:53]  kaeos: theres probably enough nukes to terraform mars
[10:57:12]  asimplyokgamer: It’s cause Reynosa mexico is like right next to where I am so if I get nuked here, it’d get Reynosa too
[10:57:43]  kaeos: im willing to bet world leaders are egotistical enough to not care
[10:57:56]  chisasfam: the primary reason for nukes isnt really to cause mass death , its to cause a huge humaritarian crisis, lack of food, recourses, over capacity hospitals ,
[10:58:21]  chisasfam: bc that causes the ppl to get angry and stressed, starting public disorder
[10:58:43]  shotmaker93: life is already like this with no nukes tbh?
[10:58:43]  kaeos: ok but thats not an issue if they just kill everyone
[10:59:19]  chisasfam: and nukes will mostly target , refineries, Data centres, Farms and Mills , and major air bases
[10:59:24]  kaeos: this dude does owlful 😂
[10:59:34]  kaeos: mexico is allied with the UNITED STATES OF AMERICA
[11:00:20]  chisasfam: it depends on the country
[11:00:29]  asimplyokgamer: Mexico is entangled in a war against the cartels and its wild. We got an 18 wheeler freezer storage seized at the border full of childrens organs and bodies
[11:00:32]  chisasfam: If America gets nuked itll hurt their ego so theyll probably go all out
[11:01:21]  chisasfam: "I can save that 5 seconds in movement" - chesG
[11:01:55]  shotmaker93: @ASimplyOkGamer that's fuckt
[11:02:18]  chisasfam: zetto join the Yakuza's esports team
[11:02:50]  kaeos: i bet i could beat your 70 star PB in a month
[11:02:54]  laurabraus: whats up
[11:02:55]  chisasfam: they dont have one yet
[11:03:21]  chisasfam: when I go
[11:03:22]  kaeos: @laurabraus disney pixar movie about an asian kid who gets kidnapped by an old man with balloons
[11:03:24]  chisasfam: and Ill start it
[11:03:33]  chisasfam: @laurabraus this is true
[11:03:37]  laurabraus: ha ha kaeos
[11:03:49]  chisasfam: Ill go join the Yakuza and start an esports team
[11:03:56]  chisasfam: yes
[11:04:02]  laurabraus: kaeos i literally say whats up every time i show up and it took you that long to come up with that response
[11:04:09]  chisasfam: I mean dont the police in japan leave the yakuza alone anyway?
[11:04:32]  chisasfam: exactly
[11:04:41]  chisasfam: they need an esports team to revive it
[11:04:44]  laurabraus: i wonder why
[11:04:45]  kaeos: yakuza fell off fr
[11:04:58]  chisasfam: Yakuza need an esports team
[11:05:04]  asimplyokgamer: Zetto you should see the movie “sicario” a bit tame but it kinda shows some surface level cartel stuff
[11:05:20]  chisasfam: Way of household husband irl
[11:05:39]  kaeos: (he wont)
[11:05:45]  laurabraus: its an anime/manga
[11:05:48]  chisasfam: its an anime about an ex yakuza memeber and he is now a house hold husband
[11:05:53]  chisasfam: and he is super dramatic about everything
[11:06:55]  kaeos: gonna go beat off
[11:06:56]  kaeos: !lurk
[11:06:56]  nightbot: bye bitch
[11:07:01]  chisasfam: common zetoo l
[11:07:04]  chisasfam: GOOD NIGHT ZETOO
[11:07:06]  chisasfam: GL ON RUNS
[11:07:10]  chisasfam: ill stay lurking for you
[11:07:19]  laurabraus: have fun kaeos
[11:07:25]  laurabraus: but not too much fun
[11:08:32]  asimplyokgamer: Damn, sleepy, night y’all it’s been more fun than expected
[11:08:53]  laurabraus: @ASimplyOkGamer goodnight to youu
[11:09:14]  303devilfish: this guys skill is insane...
[11:09:55]  rickitarr64: zetto i love it when you play mario
[11:12:44]  laurabraus: F
[11:13:09]  laurabraus: W
[11:14:28]  laurabraus: if chris pratt doesnt say "yahoo" or "here we go" or "mamma mia" in that mario movie whats the point
[11:15:03]  laurabraus: me neither
[11:15:08]  laurabraus: they really should have
[11:17:29]  shotmaker93: How many frying pans points i need to spend in order to have Zetto do the mario live?
[11:17:53]  laurabraus: or just "here we go" in general. even if that was the only line from mario it woulve been better
[11:18:01]  shotmaker93: yes the dance and all that
[11:18:34]  shotmaker93: i'd spare you the singing if you nail the dance right
[11:19:12]  laurabraus: did you just do what i think you did
[11:19:59]  laurabraus: what just happened actually did you accidentally reset
[11:20:04]  laurabraus: omggggggggggggggggg
[11:20:10]  laurabraus: zettooooooooo :(
[11:20:29]  laurabraus: you were just too fast...too good at your own game..
[11:20:31]  rickitarr64: :(
[11:22:27]  laurabraus: ok i gotta go to bed :( gnnn
[11:31:12]  shotmaker93: what other game you play btw apart from smash and mario?
[11:36:05] pizzataco redeemed Sound Alert: 💕Wha～o💕 500
[11:38:16]  shotmaker93: HOW
[11:38:39]  shotmaker93: how in the fuck you can endure it lol?
[11:39:02]  rickitarr64: mute?
[11:39:10]  kaeos: NO not muted
[11:39:18]  lukiewookipookie: rip
[11:39:32]  lukiewookipookie: chur my fav murican
[11:41:23]  lukiewookipookie: also +1 karma for no ads
[11:42:01]  lukiewookipookie: just everyone else I get spammed with ads, so don't even watch twitch anymore
[11:42:45]  lukiewookipookie: hotdog gun stand is your job right
[11:43:38]  lukiewookipookie: my ad rev was like $0.2 lol
[11:45:14]  lukiewookipookie: yah bro they did
[11:45:36]  lukiewookipookie: I used to watch a bunch of people, but then it turned into "5 ads remaining" everywhere I go
[11:45:55]  lukiewookipookie: like fuck off with your 30 second non skippable ads
[11:46:15]  lukiewookipookie: W zetto
[11:46:59]  lukiewookipookie: legit have to spend 5 minutes before I can even decide if Im interested in the content that's happening
[11:47:14]  shotmaker93: i'm off night dudes, i'll see later if you pulled it off my dude
[11:48:00]  lukiewookipookie: yah I guess they want you to buy that twitch thing that removes ads
[11:48:24]  lukiewookipookie: yah turbo still exists
[11:49:08]  lukiewookipookie: I think most people stick within 1 community
[11:50:35]  lukiewookipookie: True
[11:50:43]  lukiewookipookie: some people watch a stream from start to finish
[11:51:01]  lukiewookipookie: neither
[11:51:12]  lukiewookipookie: WIDEPOGGIES
[11:51:31]  lukiewookipookie: wideVIBE
[11:51:33]  lukiewookipookie: breh
[11:52:46]  lukiewookipookie: who was even complaining
[11:53:25]  lukiewookipookie: ah yes, children. theyre created from fun, but ruin fun everywhere they go
[11:53:32]  lukiewookipookie: selfish bitches
[11:54:49]  lukiewookipookie: how many stars are you prac
[11:59:38]  lukiewookipookie: i mean its been going pretty good so far
[11:59:54]  lukiewookipookie: spoke too soon
[12:01:23]  lukiewookipookie: LUL
[12:01:45]  lukiewookipookie: cya
[12:01:55]  scratchatk: PokPikachu ty
[12:02:23] ktrZetto is now offline.
[12:04:58]  anglerangus: gn OiMinna
[12:04:58]  nightbot: https://clips.twitch.tv/GeniusCovertSalmonItsBoshyTime-NECqGzkggZv8lT-v
[14:16:10] disconnected
[14:16:10] Server connection timed out, reconnecting
# Start logging at 2022-10-12 21:48:03 Tokyo Standard Time
[21:48:03] connected
