# Start logging at 2022-10-16 06:26:14 Tokyo Standard Time
[06:26:14] ktrZetto is live!
[06:26:14] 2022年10月16日
[06:26:14]  shotmaker93: indeed
[07:10:10]  chisasfam: but isnt the yen to pound ratio scuffed
[07:10:20]  chisasfam: not ratio, conversion
[07:10:28]  chisasfam: The tutors set their own rates
[07:10:30]  dinosaurus: im sure she is a contractor and thus has no rights lmao
[07:10:53]  shotmaker93: i mean keeping the rate lower you get more costumers
[07:11:12]  shotmaker93: no like 10
[07:11:14]  dinosaurus: probably a side hustle and they find it easier
[07:11:19]  chisasfam: i mean she does like also have a full time job
[07:11:54]  chisasfam: shes a English to Japanese translator in some travel company
[07:12:14]  shotmaker93: tell us more
[07:12:22]  chisasfam: thats all I know T-T
[07:12:24]  shotmaker93: i'm getting interested
[07:12:58]  chisasfam: Im awkward when I talk to pretty ppl T-T so I like never know what to say
[07:13:58]  dinosaurus: says the man making literally pennies from streaming mario 64
[07:14:05]  chisasfam: Her lessons are like
[07:14:07]  shotmaker93: Zetto is an expert in the field it can give us couple of leads on how to deal with Japanese Gurllllz
[07:14:10]  chisasfam: 6am - 8am japan time
[07:14:19]  chisasfam: Im supposed to be in a lesson rn but I rescheduled
[07:14:26]  chisasfam: bc I have work tomorrow
[07:14:42]  dinosaurus: yeah those are psycho hours, that lady must be built different
[07:15:36]  chisasfam: idk when we have lesson she looks like shes just gotten out of bed like she sounds and looks sleepy asf at the start of the lesson
[07:15:40]  dinosaurus: she just wants to add to the death on the job statistics in japan
[07:16:05]  dinosaurus: new Karoshi stats just dropped POGGERS
[07:16:33]  dinosaurus: no she just dies during her fulltime job
[07:16:34]  chisasfam: when I go to japanland in april Ill be like "pull up xoxo"
[07:16:38]  chisasfam: jk :')
[07:16:41] shotmaker93 redeemed Konpeko 1000
[07:16:58]  dinosaurus: this fuckin weirdo foreigner paid me dogshit and now wants to hang out? fuck that
[07:16:58]  chisasfam: ill say
[07:17:12]  dinosaurus: almondo almondo
[07:17:12]  chisasfam: Ill pay you 9.50 an hour to meet irl and hang out im lonely pls i need friends
[07:17:12]  shotmaker93: i just redeemed a Konpeko!?
[07:17:23]  shotmaker93: wtf was that Zetto lol
[07:17:29]  dinosaurus: that was the Konpeko you redeemed wym
[07:17:42]  chisasfam: she can pay for her own transport
[07:17:54]  chisasfam: She showed me the tokyo train map im terrified
[07:18:13]  dinosaurus: bro she probably makes 77% of the salary of a man in her position in japan and ur gonna make her pay her own transport?
[07:18:16]  dinosaurus: smh
[07:18:18] shotmaker93 redeemed Nico Nico Nii 1000
[07:18:35]  dinosaurus: google maps is CRACKED for using subways
[07:18:49]  chisasfam: ill pay for food and drinks ig smh
[07:18:56]  shotmaker93: god damn Zetto lol
[07:19:11]  chisasfam: im a gentleman not a monster
[07:19:24]  chisasfam: I will rent a girlfriend irl
[07:19:27]  garlicpaper555: language is weird, they teach you grammer and shit for years , then you never use them ever it just your self conscious speaking
[07:19:54]  dinosaurus: garlicpaper555 bro i learn all this grammar and then i watch some japanese stream or something and they just speak in plain form the whole time and omit every fucking particle
[07:19:55]  chisasfam: This one jrock band followed me on twt so I might be like ey collab xoxo
[07:19:58]  shotmaker93: have you studied math?
[07:20:13]  shotmaker93: most of the shit you will never use
[07:20:16]  garlicpaper555: whats math?
[07:20:43]  iop4everdudes: we're nearly at the sea brother. it's just a bit further
[07:20:56]  shotmaker93: Mathematics
[07:20:59]  chisasfam: ill omit whatever particle I want
[07:21:04]  dinosaurus: a friend
[07:21:07]  dinosaurus: brother in arms
[07:21:10]  dinosaurus: maybe idk :)
[07:21:12]  chisasfam: a chum
[07:21:13]  iop4everdudes: definitely younger
[07:21:15]  garlicpaper555: you are my friend dino
[07:21:19]  chisasfam: a buddy o pal
[07:21:27]  dinosaurus: i dont know you bro
[07:21:41]  chisasfam: @Dinosaurus dino can we be bestie westies uwu
[07:21:45]  dinosaurus: no weebs allowed
[07:21:51]  shotmaker93: hurts in the feelings
[07:22:01]  iop4everdudes: thanks so much! https://clips.twitch.tv/SteamyTenuousLeopardDxCat-l_s8R6zmDqWRNCFE Kappa
[07:22:01]  chisasfam: im not a weeb dang
[07:22:07]  dinosaurus: what jrock band followed you
[07:22:10]  dinosaurus: lemme peep them and ill tell you
[07:22:12]  chisasfam: @Dinosaurus Meraki
[07:22:15]  efrye684: ktrzetCool
[07:22:15] Efrye684 subscribed at Tier 1. They've subscribed for 9 months!
[07:22:18]  chisasfam: they are small
[07:22:31]  chisasfam: Meraki_0612 or something like that
[07:23:31]  shotmaker93: tits?
[07:24:28]  shotmaker93: pay for sex is weak
[07:25:01]  shotmaker93: that's even worst damn bra
[07:25:21]  garlicpaper555: こんにちは、私が日本語で知っているのはこれだけです笑
[07:25:35]  shotmaker93: like ppl who pay for feet pics WTF is wrong with us!?
[07:25:55]  chisasfam: "you know you have some stuff there"
[07:26:02]  garlicpaper555: thank you duolingo
[07:26:08]  garlicpaper555: lol
[07:26:37]  shotmaker93: i'd rather suck tits then toes okay real talk
[07:26:48]  chisasfam: thank you for the insight shotmaker93
[07:26:56]  chisasfam: thank you for the insight ktrZetto
[07:27:04]  shotmaker93: yes man agree
[07:27:11]  chisasfam: I agree with you both but Im not gonna voice that in chat xoxo
[07:27:30]  chisasfam: zetto I wasnt talking to you
[07:27:34]  shotmaker93: we are big bois here okay
[07:27:44]  chisasfam: zetto i wasnt talking to you buddy
[07:27:48]  chisasfam: its not all about you pal
[07:28:03]  garlicpaper555: drink
[07:28:19]  shotmaker93: the add that ses my mum loves me!?
[07:28:28]  chisasfam: japan ad time woo
[07:28:36]  shotmaker93: yea
[07:28:46]  chisasfam: ohh this is different to last time already
[07:28:56]  efrye684: Bad Apple~
[07:29:06]  shotmaker93: confirmed satanism
[07:29:07]  garlicpaper555: damn dude makes his own ads?
[07:29:13]  garlicpaper555: thats some next level
[07:31:55]  shotmaker93: that's some water he's drinking
[07:32:26]  shotmaker93: straight to the mountain
[07:32:33]  anglerangus: monkaHmm
[07:33:06]  efrye684: Miku <3
[07:35:26]  shotmaker93: pretty sure there's a contractor behind Miku's voice payed to kill, probably paid the government, to stay undercover
[07:35:33]  kirosthegreat: Welcome back slow poke rikkuMlem
[07:35:56]  shotmaker93: for me it was
[07:36:11]  shotmaker93: i like my version better Zeto
[07:36:18]  kirosthegreat: I am slowly becoming more and more boomer. Actually enjoying sudoku puzzles rikkuSit
[07:36:27]  chisasfam: zetto
[07:36:31]  shotmaker93: yes
[07:36:32]  chisasfam: Im gonna go take a huge shit
[07:36:33]  chisasfam: then slep
[07:36:39]  shotmaker93: brilliant
[07:36:41]  chisasfam: gl on runs man ill lurk for you
[07:36:57]  shotmaker93: and a good sheeetz
[07:37:04]  chisasfam: thank you shot
[07:37:15]  chisasfam: atleast someone appriciated my toiletry needs
[07:37:24]  iop4everdudes: has anyone said you have a soothing voice? like you should legit do asmr
[07:37:28]  shotmaker93: do not consume all that toilet paper
[07:37:39]  chisasfam: @Shotmaker93 its hard I cant help myself
[07:37:41]  kirosthegreat: Give your toilet my kindest regards  miyuuSalute
[07:37:53]  chisasfam: thank you kiros
[07:38:23]  chisasfam: ill fall in out of spite
[07:38:43]  shotmaker93: fun eh
[07:38:48]  chisasfam: ill drop my phone in out of spite
[07:39:10]  chisasfam: ill drop my wallet
[07:39:13]  chisasfam: but bc im clumsy
[07:39:15]  shotmaker93: drop the soap
[07:39:30]  shotmaker93: no do not ever.
[07:39:31]  chisasfam: I wont drop my keys I need them for work
[07:39:36]  chisasfam: okay gonna poop okay poop time
[07:39:58]  chisasfam: may watch while i poop on my mobile device known as a Apple Smartphone (Iphone)
[07:40:00]  shotmaker93: ass cheeks against the wall be safe ppl
[07:40:35]  shotmaker93: lmao wtf
[07:40:51]  chisasfam: zetto your stream was on while I was with a girl one time
[07:40:56]  shotmaker93: do not shit on the wall!
[07:41:00]  chisasfam: the tab was left on from the night before
[07:41:19]  garlicpaper555: its him mario
[07:41:34]  kaeos: @Chisasfam dude same i actually cant cum unless his stream is on anymore
[07:41:34]  chisasfam: doing the do
[07:41:35]  kirosthegreat: It's not an /actual/ thing. It just started as a way to make new inmates even more scared of prison, as both a punishment and a deterrent. But there is a ton of sex in prison. Don't worry Kappa
[07:41:39]  chisasfam: while zetto is talking
[07:41:46]  chisasfam: @Chisasfam LITERALLY ITS SO HARD
[07:42:12]  shotmaker93: did you fap while Zetto was on?
[07:42:22]  chisasfam: No
[07:42:31]  chisasfam: Ill say no for this one
[07:43:05]  iop4everdudes: never to you personally, but i often have a stream on in case my sister comes in
[07:43:12]  shotmaker93: is considered being gay for Zetto accepted as being gay!?
[07:43:41]  chisasfam: dick in hand watching japan man move a little man fast
[07:44:00]  shotmaker93: next on your screen
[07:44:04]  kaeos: weird thing to brag about
[07:44:39]  shotmaker93: NO LOL
[07:44:42]  shotmaker93: ZETTOOOOOOOOO
[07:44:51]  chisasfam: zetto cum tribute
[07:44:59]  shotmaker93: confirmed
[07:45:33]  kaeos: dude how funny would it be if we all did zetto cum tributes xD
[07:45:37]  kaeos: just goofin off xD
[07:45:44]  shotmaker93: bukkake?
[07:45:44]  chisasfam: itll be a goof XD
[07:45:52]  chisasfam: Lets post it in the discord for the LOLs!
[07:46:11]  garlicpaper555: Send a message
[07:46:17]  garlicpaper555: thats my reaction to the whole chat
[07:46:26]  kaeos: ive been playing valorant ever since u brought it up the other day
[07:46:29]  chisasfam: says ok
[07:46:32]  kaeos: this game is easy
[07:46:45]  chisasfam: says ok 󠀀
[07:46:51]  shotmaker93: you rodent
[07:47:32]  chisasfam: wants to ask zetto a question
[07:47:45]  kaeos: oh i havent even played online yet just the shooting range
[07:47:45]  chisasfam: you cant play ranked ino valo until you get to level 20
[07:48:44]  chisasfam: is wondering if zetto has ever eaten a thing that goes woo then also bounces off the verticle isololie of the state of wyoming! it is kind of crazy once you think about the statistical properties of the matter
[07:49:41]  shotmaker93: weel of fortune time out with the vocals to guess
[07:49:41]  kaeos: u ever play those sex games on newgrounds?
[07:49:52]  chisasfam: @kaeos yes next question
[07:49:59]  kaeos: good times
[07:50:39]  chisasfam: Kissabooba
[07:50:48]  shotmaker93: steam sells them and you're a tool if you bought them
[07:51:06]  chisasfam: toowl
[07:51:16]  chisasfam: "people bought them for me"
[07:51:34]  shotmaker93: Zetto you can get that shit for free
[07:52:35]  kaeos: do you have add incentives that other streamers are getting
[07:52:37]  kaeos: ad
[07:53:06]  kaeos: do it
[07:53:13]  shotmaker93: no god damn it
[07:53:39]  kaeos: this is the only channel im subbed to so id love to see the non subbed people get fucked bc it doesnt affect me
[07:54:11]  shotmaker93: what a rodent!
[07:55:01]  kirosthegreat: I'm telling ya, grow hair long & use a voice changer. You'll find a sugar daddy in no time.
[07:55:16]  kaeos: tf
[07:55:55]  shotmaker93: @KirosTheGreat you're gonna get caught aat some point stop that
[07:56:10]  kaeos: you had one but u banned him ...
[07:56:34]  kirosthegreat: There are substantially fewer mommies out there willing to lay down a grand at a time just to make a streamer happy Sadge
[07:57:06]  kirosthegreat: twitch math is hard
[07:58:11]  kaeos: the data shows that americans spend and donate more to twitch streamers so u need to lose that EU viewership for some NA
[07:59:12]  kaeos: idk u just attract a lot of europeans
[07:59:13]  shotmaker93: you tried ;)
[07:59:15]  iop4everdudes: I'm in UK and its midnight right now
[07:59:17]  kirosthegreat: Yeah, it's right around dinner time rn. Perfect time for Saturday stream
[07:59:29]  efrye684: yup, 1AM for me~
[07:59:51]  kirosthegreat: Bruh where are my Americans at? WutFace
[08:00:00]  kaeos: ME PogChamp
[08:00:10]  iop4everdudes: I'm a 15 year old kid who plays mario and eats pizza. am i your target audience LUL
[08:00:32]  kaeos: his target audience is sugar mommas
[08:00:35]  kaeos: but hes missing the mark
[08:01:11]  kirosthegreat: Target audience is anyone who has a thing for Italian plumbers breaking physics
[08:01:22]  shotmaker93: ye
[08:01:27]  kaeos: maybe its so many europeans bc mario is italian
[08:01:48]  shotmaker93: americans are escaped europeans kek
[08:02:22]  kirosthegreat: !title Accepting All Sugar Mommies | JP/ENG Learner | just chatting (mario gameplay)
[08:02:22]  nightbot: @KirosTheGreat -> Current Stream Title: JP/ENG Learner | just chatting(mario gameplay)
[08:02:24]  kirosthegreat: Kappa
[08:03:43]  kaeos: i wonder why more average people dont just start onlyfans and porn
[08:03:48]  kaeos: its super easy if you have no boundaries
[08:04:05]  shotmaker93: they do already
[08:04:17]  kirosthegreat: !title All Money Welcome | Preferably a Lot | As Often As Possible | JP/ENG Learner | Other stuff
[08:04:18]  nightbot: @KirosTheGreat -> Current Stream Title: JP/ENG Learner | just chatting(mario gameplay)
[08:04:55]  kaeos: reset PogChamp
[08:05:53]  kaeos: you could hit a niche though
[08:05:57]  kaeos: you could be The Masked Twink
[08:07:06]  kirosthegreat: LUL
[08:07:38]  shotmaker93: kaeos aims for it
[08:08:01]  kaeos: i dont watch porn
[08:08:20]  kaeos: i jerk off to my imagination
[08:08:30]  shotmaker93: sad
[08:09:00]  kaeos: my imagination makes girls that are 10x hotter than u can find in porn
[08:09:37]  cosmicmikan: hiiiiiiiiiiiiiiii
[08:09:47]  shotmaker93: that's a big claim kaeos
[08:09:51]  cosmicmikan: ahh classic chat
[08:10:08]  cosmicmikan: i just got up from a nap i cant think yet
[08:10:15]  kaeos: @Shotmaker93 how
[08:10:28]  kirosthegreat: One of the bigger art streamers I watch only watches hentai. And she's a vtuber. I can see a pattern emerging   orooHmm
[08:10:31]  shotmaker93: think about it*
[08:10:32]  kaeos: if i want to jerk off to a girl with 4 arms then thats literally impossible with porn
[08:10:51]  shotmaker93: you fap to mortalk kombat!?
[08:10:57]  shotmaker93: mortal*
[08:11:01]  anglerangus: i only watch hentai
[08:11:05]  kaeos: no
[08:11:19]  kirosthegreat: Pfft, no shit she only watches hentai. But we had a discussion about it in Squ's chat like a month ago
[08:11:50]  iop4everdudes: do most people prefer hentai or live action audio visuals?
[08:11:57]  kaeos: i dont jerk off to cartoons
[08:12:15]  shotmaker93: lies
[08:12:28]  kirosthegreat: Emu doesn't follow me on twitter. But then I don't use twitter sooo rikkuSit
[08:12:46]  kirosthegreat: Networking is the best way to grow. Something everyone has to do
[08:13:24]  iop4everdudes: does zetto hate live action(judging by the way you answered)
[08:14:56]  kaeos: i dont think anyone from your raids ever says anything in the chat
[08:15:05]  kaeos: plus theyre sometimes follow only and no shot im following
[08:15:42]  kirosthegreat: To be fair, there's a large difference in appeal between anime and cartoons. It's not something that can be compared as a medium. Plenty of rage wars going on the net regarding that
[08:16:12]  kaeos: anime and cartoons are basically the same
[08:16:15]  kirosthegreat: Zetto the toxic streamer Kapp
[08:16:42]  shotmaker93: Zetto keep it real no asskissing
[08:16:55]  kaeos: i think that if you think theyre different then ur just a weeb
[08:17:53]  kirosthegreat: I mean, titanic is a film, and so is an art student's 30 second movie about an egg dripping on a counter, but the two are /not/ comparable
[08:18:09]  shotmaker93: i trust you
[08:19:06]  cosmicmikan: ktrzetD
[08:19:15]  kaeos: i like how u have short in ur tags
[08:19:19]  kaeos: keeping it real
[08:19:30]  shotmaker93: endomorphines Zetto
[08:19:34]  cosmicmikan: chad makes me laugh every time
[08:20:39]  kaeos: skill issue
[08:20:55]  kaeos: !mantaray
[08:20:55]  nightbot: https://youtube.com/clip/UgkxPDeZN7oxbaVUbVb3FLiEzc8eLQL2lMqZ
[08:22:53]  kaeos: there was this pornstar on some twitch streamers channel and the next time i opened up pornhub she was literally the first video recommended thats kinda spooky
[08:23:02]  kaeos: i dont watch porn tho i was just browsing pornhub like it was twitter
[08:23:38]  cosmicmikan: suuuuuuuure
[08:24:24]  shotmaker93: bet that if she had 4 arms you would have go at it
[08:24:42]  kaeos: just 4 is getting too vanilla for me these days
[08:25:02]  cosmicmikan: NAUR
[08:25:20]  kirosthegreat: Gotta go monitor a stream, be lurking in and out rikkuRoll gl mate
[08:25:31]  shotmaker93: you like them centipede ahhkaeos
[08:26:09]  kaeos: i like them like hindu gods with like 40 arms
[08:26:33]  rinta_rnt: ussa
[08:26:35]  cosmicmikan: BLESS YOU
[08:26:48]  kaeos: but now ur breathing in ur mucus
[08:26:50]  kaeos: DansGame
[08:26:55]  shotmaker93: xD
[08:27:04]  kirosthegreat: that poor mask Kappa
[08:27:06]  kaeos: DansGame
[08:27:52]  shotmaker93: saw this porn were the dude cums  inside this girl mask and then she wears it
[08:27:57]  kaeos: WTF
[08:28:02]  kaeos: how to unread that
[08:28:29]  cosmicmikan: where do they even come up with these ideas
[08:28:58]  shotmaker93: don't exactly recall were took place
[08:29:26]  shotmaker93: but that got me wonder, bc she had it off
[08:30:11]  kaeos: you should play a spooky game for halloween
[08:30:26]  kaeos: league of legends
[08:30:26]  shotmaker93: Luigi mansion
[08:30:31]  cosmicmikan: OMG YES
[08:30:36]  cosmicmikan: i loved that game growing up
[08:30:53]  cosmicmikan: i replayed it like 2 years ago
[08:31:13]  kaeos: play a game that is semi popular so u can attract viewers browsing that category
[08:31:23]  cosmicmikan: uhh i am
[08:31:50]  kaeos: u had a gamecube?
[08:31:53]  kaeos: ur age is showing 💀
[08:32:04]  shotmaker93: he's playing it righjt now
[08:32:09]  shotmaker93: right*
[08:32:15]  cosmicmikan: and? that i means i get to die faster than you get fucked
[08:32:39]  kaeos: oh fuck
[08:32:58]  cosmicmikan: ktrzetHeh
[08:33:19]  kaeos: would you ever switch to youtube streaming
[08:33:34]  rinta_rnt: PJSalt1 Asu 11zi han de PJSalt1
[08:33:34]  cosmicmikan: ooh really
[08:34:52]  kaeos: you should make your good content again, like the minecraft tutorials
[08:34:53]  cosmicmikan: who
[08:35:16]  kaeos: ur voice in those videos PepeLaugh
[08:35:41]  shotmaker93: eww minecraft wtf kaeos
[08:35:54]  kaeos: so bad :/
[08:36:28]  kaeos: 🤓 "Hey everyone it's KTR and welcome back to the CT SMP"
[08:36:32]  cosmicmikan: HAHA
[08:36:38]  cosmicmikan: i need to listen now
[08:36:58]  kaeos: i miss the old zetto
[08:37:00]  shotmaker93: Zetto you don't play micecraft do you!?
[08:37:19]  shotmaker93: no man NO
[08:37:30]  kaimatix: gl ktrzetSmile
[08:37:36]  kaeos: if you made a community minecraft server id play in that
[08:37:44]  kaeos: literally the only thing i do is mine and hoard all the diamonds
[08:37:45]  shotmaker93: everything wrong with play minecraft
[08:38:39]  shotmaker93: fucking i don't know play Tropico if you like build shit
[08:38:46]  cosmicmikan: i remember the last time we played mc together with jacky and jacob lmfao
[08:38:50]  cosmicmikan: think i kept dying
[08:39:01]  kaeos: minecraft is fun with friends
[08:39:30]  cosmicmikan: i get bored after playing 2 hours
[08:39:35]  shotmaker93: shibuy4Arare2
[08:39:47]  kaeos: valorant tho
[08:40:23]  kaeos: i hollowed out an entire mountain to make it my house
[08:40:40]  shotmaker93: oh wow what a goal
[08:41:24]  kaeos: FORCING the SHEEP to BREED what a CRUEL farmer
[08:41:46]  shotmaker93: i'd rather get blind again with my game boy rather then play minecrap
[08:42:05]  kaeos: wow you hate minecraft almost as much as i hate europeans
[08:42:34]  shotmaker93: then you hate yourself kaeos
[08:42:39]  shotmaker93: your origins
[08:43:03]  kaeos: thats a given
[08:43:12]  kaeos: i dont know many people who dont hate themselves
[08:45:04]  kaeos: owlful 💀
[08:45:42]  shotmaker93: Zetto pick one fav characters between Mario, Luigi, Wario and why.
