# Start logging at 2022-01-16 00:12:13 Tokyo Standard Time
[00:12:13]  ktrzetto: !define boul
[12:29:46]  babsmcnh: Better than mizkif Pog
[12:29:51]  darkphoeen1x: no everyday daily
[12:30:03]  darkphoeen1x: so lwvwlling roulette aand pvp
[12:30:10]  darkphoeen1x: leveling*
[12:30:28]  babsmcnh: “Good evening” 3:30AM
[12:30:48]  babsmcnh: OMEGALUL it’s clintcord you think we talk about normal shit in there
[12:31:00]  babsmcnh: People were wondering who you were cuz trub mentioned you
[12:31:13]  darkphoeen1x: me neither but it gives a damn ton of exp around as much as msq roulette
[12:31:26]  babsmcnh: How you been Zetto HYPERS
[12:31:47]  babsmcnh: smh you didn’t even respond to the pings
[12:32:25]  babsmcnh: Trub said you were great
[12:32:32]  babsmcnh: And I was like yeah zetto is great
[12:32:50]  darkphoeen1x: so not wasting 40-50 min only like max 20 min for a half level
[12:32:57]  babsmcnh: Ur known in Clints offline chat FeelsWeirdMan that may be worse than clintcord OMEGALUL
[12:33:02]  babsmcnh: I kid
[12:33:09]  babsmcnh: Pog pizzaaaaaa
[12:33:33]  babsmcnh: The piss you took after must’ve been like clear water
[12:34:02]  babsmcnh: I drank a liter once and I got scared I was peeing for too long
[12:34:29]  babsmcnh: Lmao don’t say awe you’re making me blushhhhh 😳
[12:35:08]  darkphoeen1x: welp next goal for my alt is to reach 60 and unlock dancer and hun blade
[12:35:14]  darkphoeen1x: gun blade*
[12:35:23]  babsmcnh: monkaHmm my piss is usually dark yellow
[12:35:26]  babsmcnh: Whoopssss
[12:35:54]  babsmcnh: Yeah I was peeing just water for like 35 seconds
[12:35:58]  babsmcnh: Scared the shit outta me
[12:36:10]  303devilfish: dancer Kreygasm
[12:36:33]  babsmcnh: omg now you’re saying fuck you 😳 one step at a time kevinnnn
[12:36:36]  303devilfish: It's pretty easy but i think its a lot of fun :)
[12:36:40]  babsmcnh: PepeLaugh
[12:37:08]  babsmcnh: Who’s the usual tsundere here - mango right
[12:37:16]  babsmcnh: I’m filling in her spot rn
[12:37:45]  babsmcnh: Oh yeah would you recommend this game
[12:37:58]  babsmcnh: BITCH
[12:38:03]  babsmcnh: IM PLAYING THIS OUTLOUD
[12:38:40]  303devilfish: i'm kinda sad how braindead that made summoner.
[12:38:41]  babsmcnh: my life is ruining I think my roommates heard through my door NotLikeThis
[12:38:55]  303devilfish: they*
[12:40:04]  babsmcnh: Okay I’ll be the nice tsundere HYPERS
[12:40:25]  babsmcnh: You should name a Pokémon babs
[12:40:35]  babsmcnh: Someone named a Pokémon after me once
[12:40:37]  303devilfish: primals, yeah
[12:40:48]  babsmcnh: All I remember is that the Pokémon was ugly as fuck
[12:41:03]  rinta_rnt: ひろゆき大活躍ｗ
[12:41:04]  fredmanftw: Hey Zetto! Hope ur having a great night <3
[12:41:35]  babsmcnh: Name me after the next one you catch in the next route
[12:42:38]  rinta_rnt: メッセージは、チャンネルのモデレーション設定に違反するため投稿されませんでした。
[12:42:50]  303devilfish: you heard them peepoWTF
[12:42:53]  babsmcnh: Name the dialga after me PepeLaugh
[12:43:05]  babsmcnh: YEAH THE PALKIA POGGERS
[12:43:07]  babsmcnh: LETS GO
[12:43:11]  babsmcnh: OMEGALUL
[12:43:30]  babsmcnh: I’m delayed sry it’s my phone
[12:43:37]  babsmcnh: Babs is a perfect name
[12:43:47]  babsmcnh: What’s a better name for that palkia
[12:43:58]  babsmcnh: Omg that would make me feel so speciallll
[12:44:04]  babsmcnh: Cmon zettoooo
[12:44:09]  babsmcnh: Pleaseeee :3
[12:44:14]  babsmcnh: HEHHEHE
[12:44:30]  babsmcnh: Yeah I wish it wasn’t so delayed
[12:44:41]  303devilfish: peepoWTF
[12:44:50]  babsmcnh: The amount of times I message in chat and the streamer is like wtf are you talking about
[12:44:53]  babsmcnh: Ur good though
[12:45:05]  babsmcnh: excuse me
[12:45:08]  babsmcnh: But I’m babs
[12:45:23]  babsmcnh: Name palkia babs or riot 😡
[12:45:28]  infinitesh4dow83: Buy followers, primes and viewers on u.to/1jjrGw
[12:45:36]  babsmcnh: PepeLaugh
[12:46:03] infinitesh4dow83 has been permanently banned. 
[12:46:03] infinitesh4dow83 is now banned from this channel.
[12:46:28]  babsmcnh: No I was about to buy followers and primes on the website Kappa
[12:46:36]  babsmcnh: So close
[12:47:04]  babsmcnh: True
[12:47:28]  babsmcnh: I need to make new passwords
[12:47:34]  babsmcnh: I change them every month
[12:47:44]  babsmcnh: And I’ve ran out of ideas monkaHmm
[12:47:55]  babsmcnh: Yeah probably
[12:48:03]  babsmcnh: Or it has more benefits
[12:48:09]  303devilfish: keep ass nyannGachi
[12:48:27]  babsmcnh: keep ass
[12:48:31]  babsmcnh: That’s hot
[12:48:56]  royalknightdragon: so your advice for the fighting gym worked haunter nearly ended the entire team
[12:48:59]  babsmcnh: Interesting
[12:49:30]  babsmcnh: Nah I mean I ran out of words to use in my passwords
[12:49:47]  babsmcnh: My passwords are worse than my username tbh
[12:50:07]  babsmcnh: Okay I’m out
[12:50:28]  babsmcnh: But someone clip zetto not naming palkia my name
[12:50:46]  royalknightdragon: they were like: FUCKING WORM GO
[12:50:57]  babsmcnh: So whenever he says something rude
[12:51:01]  babsmcnh: I can post that
[12:51:12]  babsmcnh: Name me after anything it’s chill
[12:51:18]  babsmcnh: Sadge I guess…
[12:51:44]  babsmcnh: Okay see ya zetto and chat <3
[12:51:58]  babsmcnh: Pog that sounds good
[12:52:04]  babsmcnh: BYEEE
[12:59:33]  303devilfish: YEP pp
[13:06:01]  saltychildofthesea: BOP
[13:06:33]  saltychildofthesea: calling me by my full name monkaS
[13:08:02]  saltychildofthesea: hows game so far Prayge
[13:08:13]  saltychildofthesea: Pog
[13:08:28]  saltychildofthesea: wow i missed a lot PogBones
[13:09:08]  saltychildofthesea: sheer determination Prayge
[13:09:36]  saltychildofthesea: thats a large catr
[13:11:26]  darkphoeen1x: i think i need to search  later pvp bc it is 5 am rn rip
[13:12:20]  saltychildofthesea: 5 am WAYTOODANK
[13:12:48]  saltychildofthesea: HOLY WAYTOODANK
[13:12:57]  saltychildofthesea: missed babs Sadge
[13:13:26]  saltychildofthesea: monkaW destroying the world
[13:13:28]  darkphoeen1x: i'm just here sitting in limsa and listen to a bard
[13:14:25]  saltychildofthesea: the characters look so dinky
[13:17:55]  darkphoeen1x: welp i'm here drinking coffee at 5 am which i brewed a few hours ago
[13:18:14]  darkphoeen1x: yes
[13:18:32]  darkphoeen1x: it has no effect anymore on me
[13:19:11]  darkphoeen1x: yes
[13:21:06]  saltychildofthesea: Pog its raining
[13:21:34]  saltychildofthesea: yeah HYPERS RainTime
[13:22:30]  saltychildofthesea: trying to get a shiny palkia?
[13:23:26]  saltychildofthesea: shiny palkia is basically normal palkia but sunburnt
[13:24:37]  saltychildofthesea: pepeD wooo 2/400 resets
[13:25:02]  saltychildofthesea: 2/4000 pepeD
[13:25:09]  darkphoeen1x: and i don't want to waste coffee thats why i am drinking it at 5 am
[13:28:17]  darkphoeen1x: i think i should stop listening to music and level my main on ast
[13:28:22]  saltychildofthesea: its literally sunburnt OMEGALUL
[13:29:42]  darkphoeen1x: ast is astrologian and i should have around 9 am a lvl 90 Astrologian
[13:31:45]  darkphoeen1x: i need to make some chocolate milk a bit later
[13:32:02]  saltychildofthesea: choccy milk HYPERS
[13:32:27]  darkphoeen1x: bc coffee dehydrates me bit after bit
[13:34:51]  darkphoeen1x: it feels like so bc my mouth gets drier and drier
[13:37:25]  darkphoeen1x: wow the bard plays rn sweet home alabama ^^
[13:42:30]  saltychildofthesea: einstein spitting facts
[13:42:41]  303devilfish: yo wheres that shiny palkia or whatever
[13:43:10]  303devilfish: Sadge
[13:44:02]  darkphoeen1x: am i gonna climb the rank in company now yes why idk
[13:44:27]  darkphoeen1x: company i mean the city state
[13:46:55]  darkphoeen1x: i would watch it got nothing better to do
[13:47:34]  saltychildofthesea: witnessing murder monkaW
[13:48:59]  darkphoeen1x: i would hate myself if i'm gonna create a character and wouldn't use aetherytes
[13:50:16]  darkphoeen1x: yes or using mounts
[13:51:14]  darkphoeen1x: i would use mounts but wouldn't unlock the chocobo bag
[13:52:34]  darkphoeen1x: so i would use mouunts like the bike or fatter cat to get around the world faster but i wouldn't unlock that the chocobo could fight side at side with me
[13:54:17]  saltychildofthesea: feeble ass
[13:56:48]  darkphoeen1x: i wonder if i can use poetics rn or not
[13:57:13]  darkphoeen1x: yes i can use it xD
[13:58:13]  darkphoeen1x: yes bc i can already gather poetics slowly
[13:59:46]  saltychildofthesea: shall I comPARE thee TO a SUMmer's DAY
[14:00:55]  saltychildofthesea: thats a lot of pikachus
[14:01:07]  303devilfish: PepePls
[14:01:13]  303devilfish: why dont you have PepePls
[14:01:16]  303devilfish: it's the best emote
[14:01:24]  darkphoeen1x: around 20 - 30 if lucky 50 per run
[14:01:35]  saltychildofthesea: just get 7tv 4Head
[14:01:51]  303devilfish: is 7tv an actual thing
[14:01:54]  303devilfish: or just a joke i'm not in on
[14:01:57]  saltychildofthesea: YEAHBUT7TV
[14:05:17]  saltychildofthesea: Fake Clint monkaHmm
[14:06:04]  darkphoeen1x: to fully gear my 2nd Character in 130 poetic armor i would need 27025
[14:06:46]  darkphoeen1x: or around 1351 runs
[14:07:17]  darkphoeen1x: or around 338 Hours
[14:08:18]  darkphoeen1x: there is if i gonna do msq but i'm not
[14:10:04]  darkphoeen1x: bc i want to be the strongest adveenturer i can at lvl 20 msq
[14:13:27]  darkphoeen1x: and yes i wasted a few minutes to calculate how many runs i would need to gear my alt on full ilvl 130 poetic armor
[14:13:53]  darkphoeen1x: no it's not
[14:14:42]  darkphoeen1x: in 338 hours i could get all jobs to 60 or more
[14:17:20]  darkphoeen1x: and those 338 hours is only dungeon time without queue if with queue i would say around 600 hours
[14:20:08]  krystenxo: hi <3
[14:21:00]  krystenxo: TRASH!
[14:21:01]  krystenxo: lmao
[14:21:11]  krystenxo: i only had 1 good run, but it died at mips clip
[14:21:37]  krystenxo: yeah its really hard now that i have a mid 18
[14:21:58]  krystenxo: it was the fucking camera that fucked me lol
[14:22:30]  krystenxo: THE CAMERA IS TRASHHHHHHH@!
[14:22:32]  krystenxo: LMAO
[14:23:00]  darkphoeen1x: you know what it is more likely that i gonna create a character where i would't use aetheryte than running a dungeon 1351 times
[14:23:17]  krystenxo: yeah i should try that
[14:32:45] kiy0t3 redeemed Sound Alert: Fail Trompete 500
[14:33:01]  303devilfish: R OMEGALUL LLED
[14:33:01]  kiy0t3: me im fcking high
[14:33:04]  kiy0t3: so much wed
[14:33:19]  303devilfish: i'm drink widepeepoHappy 🍺
[14:33:57]  kiy0t3: oxide08Trash
[14:34:12]  kiy0t3: i come to japan you and me get high
[14:34:14]  kiy0t3: sounds good
[14:34:16]  kiy0t3: its a plan
[14:34:48]  kiy0t3: well drunk works
[14:35:14]  kiy0t3: you take me to good shop that has great gyoza
[14:37:22]  303devilfish: back in my day 🧓
[14:39:37]  kiy0t3: hes leaving us
[14:39:44]  kiy0t3: NOOOOOOOOOOOO
[14:39:44]  303devilfish: nyannHypers
[14:39:46]  303devilfish: he said the thing
[14:39:55]  kiy0t3: KomodoHype KomodoHype KomodoHype KomodoHype
[14:45:46]  303devilfish: Kreygasm
[14:45:57]  kiy0t3: jesus confirmed
[14:46:14]  kiy0t3: jesus could walk on water and tie his shoes
[14:46:35]  kiy0t3: could count by twos aswell
[14:47:21]  kiy0t3: hey zetto....... vaporeon
[14:48:13]  kiy0t3: ktrzetCry
[14:48:14]  303devilfish: yes, that's kinda the point
[14:48:34]  kiy0t3: oxide08Trash
[14:49:22]  kiy0t3: do you know what the most overpowered pokemon in red and blue was?
[14:49:56]  kiy0t3: raticate with hyper fang
[14:49:57]  303devilfish: wasn't it mewtwo cuz special was all one stat
[14:50:25]  kiy0t3: was a move that could stun enemies but also had a high crit chance
[14:50:42]  kiy0t3: raticate wasnt weak to any pokemnonb
[14:50:47]  kiy0t3: fuck im high
[14:50:48]  kiy0t3: cant'
[14:50:51]  kiy0t3: tyoe
[14:51:40]  kiy0t3: dude\
[14:51:43]  kiy0t3: wingull
[14:51:43]  303devilfish: how do you feel that 100% of your chat is under the influence
[14:51:46]  kiy0t3: GET A WINGULL
[14:52:03]  kiy0t3: keep it as a WINGULL
[14:52:31]  kiy0t3: wingull and treeko best pokemon
[14:53:04]  kiy0t3: if you disagree thgats well its nice to have dfifferent opinions
[14:53:31]  303devilfish: does this game work with the pokebank thing
[14:53:42]  kiy0t3: treeko looks like me
[14:53:48]  kiy0t3: im an assholke
[14:53:51]  kiy0t3: 100%
[14:55:18]  kiy0t3: you look like snorlax
[14:55:25]  kiy0t3: 100%
[14:55:32]  303devilfish: smoochum
[14:55:39]  kiy0t3: naw naw
[14:55:43]  kiy0t3: he looks like WINGULL!!
[14:56:17]  kiy0t3: or seaking
[14:56:23]  kiy0t3: pronbab;ly seaking
[14:56:38]  kiy0t3: oh you want to be pretty
[14:56:43]  kiy0t3: ok yopu can be clefairy
[14:56:43]  303devilfish: he looks like a feebas
[14:57:44]  kiy0t3: ok ok ok bear with me.......... polywhirl
[14:59:50]  303devilfish: he looks like agumon
[15:00:21]  303devilfish: probably
[15:00:47]  303devilfish: NaM
[15:05:51]  303devilfish: Sadge no pp
[15:07:01] 5 raiders from 샤보이 have joined!
[15:07:03]  andrewangus: schabo11_SG scha raid
[15:07:17]  ktrzetto: !so schaboi
[15:07:17]  nightbot: Check out schaboi who was last seen playing "Old School RuneScape". Give them a follow at twitch.tv/schaboi
[15:07:19]  ghostairplane: 5cha was talking mad shit before he ended bro
[15:07:26]  ghostairplane: it was fucked up
[15:07:33] 샤보이 schaboi: NotLikeThis
[15:07:34]  andrewangus: PepeLaugh this clip
[15:08:03] 샤보이 schaboi: LULW
[15:08:05] 샤보이 schaboi: he's lying
[15:08:07]  ghostairplane: I cant even repeat it, he was going off like slurs and shit
[15:08:10]  303devilfish: my freinds widepeepoHappy
[15:08:32]  andrewangus: widepeepoHappy
[15:08:57]  303devilfish: chat what pokemon does this streamer look like
[15:09:07] 샤보이 schaboi: machamp
[15:09:21]  andrewangus: machop
[15:09:22]  saltychildofthesea: piplup
[15:09:38] 샤보이 schaboi: digdug
[15:09:52]  andrewangus: that aint even a pokeomn
[15:10:00] 샤보이 schaboi: that's a boul
[15:10:09] 샤보이 schaboi: or a game
[15:10:20]  ghostairplane: snorunt
[15:10:23]  andrewangus: diglitt
[15:10:36] 샤보이 schaboi: ktr should i get dunkin or mcdonalds
[15:10:50]  andrewangus: is dunkin on grubhub
[15:10:58]  303devilfish: nyannAyaya
[15:11:02] 샤보이 schaboi: doordash
[15:11:16] 샤보이 schaboi: true
[15:11:16]  saltychildofthesea: pepeD *grubhub music starts playing*
[15:11:31]  ghostairplane: I didnt know salty still went on twitch
[15:11:46]  andrewangus: s4lty widepeepoHappy
[15:11:46]  saltychildofthesea: i am still on twitch HYPERS
[15:11:49]  ghostairplane: just abandoned us in offline
[15:11:53]  ghostairplane: its coo
[15:11:55]  ghostairplane: not like I care
[15:12:25]  andrewangus: 花
[15:12:26]  saltychildofthesea: sorry i've been swamped with school and uni stuff Sadge
[15:12:42]  ghostairplane: not swamped that you cant be here tho
[15:12:45]  ghostairplane: its coo
[15:12:54]  ghostairplane: did you just doxx your friend
[15:12:55] 샤보이 schaboi: Sadge
[15:13:12] 샤보이 schaboi: zoodasaDubuyawn salty
[15:13:16]  andrewangus: lol what pokemon is named pekora
[15:13:26]  saltychildofthesea: ok ill exist in offline chat more often HYPERS
[15:13:30] 샤보이 schaboi: rat type pokemon
[15:13:36]  andrewangus: FeelsWeirdMan
[15:13:36]  ghostairplane: nah salty I dont care
[15:13:46]  andrewangus: i care 🥺
[15:13:59]  saltychildofthesea: Prayge
[15:14:10] 샤보이 schaboi: that mf thick
[15:14:20]  andrewangus: thats how i look after squat day
[15:14:26] 샤보이 schaboi: big ass balls
[15:15:00]  ghostairplane: trust me
[15:15:05]  ghostairplane: I never run out of pp
[15:15:10] 샤보이 schaboi: 👀
[15:16:17] 샤보이 schaboi: i always get pp on the seat
[15:16:47] 샤보이 schaboi: hold up
[15:16:52]  andrewangus: LUL
[15:17:00] 샤보이 schaboi: wym stand up
[15:17:03]  ghostairplane: the worst is when you hard and gotta take a shit and your dick touches the bowl
[15:17:06]  andrewangus: pees sitting down
[15:17:19]  303devilfish: monkaS
[15:17:24] 샤보이 schaboi: facts
[15:17:36]  ghostairplane: also I pee sitting down at home, I gotta use both hands to play on my phone
[15:17:39] 샤보이 schaboi: ghost it's even worse when you're soft and that shit hit the water
[15:17:50] 샤보이 schaboi: my shit submerged
[15:17:51]  andrewangus: LULW
[15:18:13]  saltychildofthesea: DansGame submerged in toiler water
[15:18:18]  saltychildofthesea: toilet*
[15:18:20] 샤보이 schaboi: with poop in it
[15:18:24]  ghostairplane: nah I aint with 5cha on that one
[15:18:31]  ghostairplane: yeah my soft cock never touched the water
[15:18:36]  ghostairplane: or gotten close
[15:19:19] 샤보이 schaboi: idk man
[15:19:25]  ghostairplane: 5cha
[15:19:37]  ghostairplane: is your soft penis longer than 5 inches
[15:19:50] 샤보이 schaboi: you do the math
[15:19:54]  ghostairplane: no
[15:20:05]  ghostairplane: cause there are other things that need to be taken into account
[15:20:17]  ghostairplane: like the toilet you using
[15:20:42] 샤보이 schaboi: all im sayin is my dick big
[15:20:53] 샤보이 schaboi: jk my soft ween is small
[15:20:54]  ghostairplane: this guys cock is def small
[15:21:11] 샤보이 schaboi: what was your pb
[15:21:17] 샤보이 schaboi: do you have clip of it
[15:21:22]  ghostairplane: I was finna say cause I am def a show'er and I aint getting close to that
[15:21:36] 샤보이 schaboi: that's hype af
[15:22:26]  ghostairplane: whats WR
[15:22:29]  ghostairplane: i have no idea how good that is
[15:23:24]  ghostairplane: oh that's pretty good
[15:23:38]  andrewangus: gh0st could beat that in a week
[15:23:46]  ghostairplane: perhaps
[15:23:48] 샤보이 schaboi: what was your previous pb
[15:24:10] 샤보이 schaboi: holy shit nice
[15:24:11]  ghostairplane: whats your sum of best
[15:24:43]  ghostairplane: that will be my goal then
[15:24:45]  ghostairplane: give me a week
[15:24:46]  andrewangus: gn guys OiMinna
[15:24:46]  nightbot: https://clips.twitch.tv/GeniusCovertSalmonItsBoshyTime-NECqGzkggZv8lT-v
[15:24:52] 샤보이 schaboi: gn
[15:24:52]  nightbot: https://clips.twitch.tv/GeniusCovertSalmonItsBoshyTime-NECqGzkggZv8lT-v
[15:25:18]  ghostairplane: 5cha should I get food
[15:25:27]  saltychildofthesea: nini andrew HYPERS
[15:25:44] 샤보이 schaboi: ye
[15:25:49] 샤보이 schaboi: i just ordered
[15:25:55] 샤보이 schaboi: high chance order gonna be fucked tho
[15:26:00]  ghostairplane: damn 😔
[15:26:06]  ghostairplane: I'm gonna go get whata then
[15:26:10]  303devilfish: peepoFat
[15:26:15] 샤보이 schaboi: that's hype
[15:28:27] 샤보이 schaboi: lvl 4
[15:33:05] 샤보이 schaboi: Pog
[15:33:11] 샤보이 schaboi: is tofu good
[15:33:25]  303devilfish: tofu taste like whatever you put on it
[15:34:23] 샤보이 schaboi: super tofu boy
[15:36:39]  303devilfish: D:
[15:43:50]  saltychildofthesea: pepeD
[15:45:11] 샤보이 schaboi: Pog 🍬
[15:49:36]  korokle: is that the one and only zetto
[16:03:25]  303devilfish: losing to clint OMEGALUL
[16:03:38]  303devilfish: COPIUM
[16:03:49]  saltychildofthesea: worse than clint Sadge
[16:04:38]  saltychildofthesea: better than clint Pog
[16:06:23]  saltychildofthesea: monkaW no healing
[16:07:21]  saltychildofthesea: Prayge please crit
[16:07:28]  saltychildofthesea: COPIUM please crit
[16:10:44]  303devilfish: PepeLaugh
[16:10:54]  saltychildofthesea: its curtain-type
[16:11:24]  saltychildofthesea: drape-ion daphHarold
[16:12:08]  saltychildofthesea: dark poison
[16:12:12]  saltychildofthesea: monkaW
[16:13:51]  saltychildofthesea: big bertha daphLook
[16:17:29]  303devilfish: OMEGALUL
[16:18:13]  rinta_rnt: 最後はトレーナーvsポケモン
[16:18:17]  saltychildofthesea: actually getting destroyed Sadge
[16:19:06]  rinta_rnt: いや人vsポケモン
[16:20:07]  saltychildofthesea: damn daphPain
[16:20:33]  303devilfish: PauseChamp
[16:20:54]  saltychildofthesea: 10+ hours of leveling daphPain
[16:21:55] You already have a raid in progress.
[16:21:59]  saltychildofthesea: nini HYPERS
[16:22:13]  303devilfish: nyannRaid
[16:22:39]  ktrzetto: !raid
[16:22:42]  ktrzetto: !raid1
[16:22:42]  nightbot: HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID
[16:23:07]  saltychildofthesea: theres like a couple seconds
[16:23:10]  saltychildofthesea: left*
[16:23:25] Now hosting atan_v2.
[16:23:59] ktrZetto is now offline.
[16:48:02] atan_v2 has gone offline. Exiting host mode.
