# Start logging at 2022-05-14 06:52:03 Tokyo Standard Time
[06:52:03] connected
[06:52:04] ktrZetto is live!
[06:52:53]  haine_sense1: WOOO HE'S BACK
[07:50:06]  babsmcnh: And what was the dot com crash
[07:50:10]  303devilfish: SHITCOIN OMEGALUL
[07:50:36]  babsmcnh: Cant wait to see you guys in 2040 when I’ll finally have enough money to travel lol
[07:50:40]  babsmcnh: WHAT
[07:50:40]  bauldi: like DAI
[07:50:41]  frostneptune: "stablecoin" COPIUM
[07:50:44]  babsmcnh: HAHAHAHAHAHA
[07:50:51]  babsmcnh: Fucking crypto
[07:51:02]  babsmcnh: I’m sorry this shit is WAYYYY too funny
[07:51:26]  babsmcnh: ☠️
[07:51:41]  bauldi: buy now before it shoots up ez
[07:51:47]  303devilfish: OMEGALUL
[07:51:52]  babsmcnh: I’m actually glad I’m learning this stuff from you I don’t know much about it :)
[07:51:54]  frostneptune: LULW
[07:51:55]  bauldi: I swear its a good deal
[07:52:04]  303devilfish: Didn't the guy who made this coin shit talk people who called out the exact thing that happened?
[07:52:10]  babsmcnh: Is that Luna?
[07:52:28]  babsmcnh: LUL
[07:53:25]  babsmcnh: This is why i ain’t touching crypto
[07:53:40]  babsmcnh: I would only invest in shit that literally makes sense in my mind
[07:53:44]  bauldi: crypto is incredibly lucrative
[07:53:53]  bauldi: if you play the game right
[07:54:09]  babsmcnh: Yeah Bitcoin isn’t doing well
[07:54:36]  babsmcnh: Bro I’m surprised you aren’t secretly a trader for ur job
[07:54:37]  bauldi: bitcoins pretty unsustainable
[07:54:44]  bauldi: its too big for itself
[07:54:59]  babsmcnh: You seem to understand this stuff much more than some econ people I know lmao
[07:55:32]  bauldi: formal education? bruh if you wanna be good at something you gotta wanna know about it yourself
[07:55:34]  pulsejp: BatChest Mario
[07:55:34] PulseJP subscribed at Tier 1. They've subscribed for 3 months!
[07:55:39]  babsmcnh: Wait a second
[07:56:10]  pulsejp: I heckin love Mario BatChest
[07:56:13]  babsmcnh: If we go into a depression….
[07:56:27]  babsmcnh: XQC WONT BE A BILLIONAIRE ANYMORE :(
[07:56:36]  kirosthegreat: mifuNom
[07:56:38]  bauldi: Ive only turned a profit so far with trading, Ive lost maybe 100ish but made roughly 1700?
[07:56:46]  babsmcnh: All the juicers will be broke oh no!!!!
[07:56:47]  303devilfish: that's not very xqcL Sadge
[07:56:52]  bauldi: its just playing small gains and patience. no different than stonks
[07:57:03]  babsmcnh: Nice Bauldi
[07:57:42]  babsmcnh: No they’ve talked about it and they just say everything is great
[07:57:44]  303devilfish: he probably has all his money in a bag under his bed
[07:57:52]  bauldi: Making money for myself ez. making money with LARG money though? Id lose money so quickly
[07:57:53]  babsmcnh: True
[07:58:12]  bauldi: I could not be some wall street boy
[07:58:35]  babsmcnh: Lol what happened with beyond meat?
[07:58:46]  babsmcnh: Oh yeah I get what you mean now
[07:58:51]  bauldi: day trade is too wild
[07:59:00]  bauldi: is swing trade like a few days?
[07:59:02]  303devilfish: "i'm into swinging" -ktrzetto
[07:59:07]  bauldi: because thats how I go about it
[07:59:35]  babsmcnh: Bro I saw an infographic that clothes are worn 4 times on average before being thrown out
[07:59:48]  bauldi: crypto is imploding and stonks go burned
[08:00:01]  babsmcnh: Meanwhile I’m wearing the same pants every other day and I’ve had shirts for 10 years
[08:00:07]  bauldi: good time to buy a few stonks if you have spare dollubs though
[08:00:12]  bauldi: could turn a nice profit
[08:00:13]  nightbot: You probably shouldn't give any streamer money. I'm not a financial advisor but that is financial advice. But if you want to help support the channel, and more importantly, help your boy get paid, feel free to click the link. Please give me your money. https://streamlabs.com/ktrzetto/tip https://www.twitch.tv/products/ktrZetto
[08:00:30]  haine_sense1: @babsmcnh who are these people who do this?
[08:00:30]  babsmcnh: Hey guys
[08:00:38]  babsmcnh: Does anyone have good news?
[08:01:20]  babsmcnh: @haine_sense1 they graduated like a year or two ago and they were like raving about crypto and stuff saying that it’s the future
[08:01:30]  fisherangus: LUL
[08:01:40]  bauldi: hes into swinging and trading? kinky boi
[08:01:54]  babsmcnh: 😳
[08:02:14]  bauldi: I feel like shorting is its own gambling game with social engineering x wsb
[08:02:30]  bauldi: Id rather buy low
[08:03:01]  303devilfish: peepoHappy
[08:03:15]  babsmcnh: YAYYYY :3
[08:03:45]  babsmcnh: Wait can you say ur twitch link again I didn’t write it all down Kappa
[08:03:59]  laurabraus: in the beginning there was nothing. then god said “let there be ‘ktrzetto is live!’” and it was good
[08:04:05]  303devilfish: NOTED twitch dot tv slash 303devilfish, got it
[08:04:13]  babsmcnh: LAURAAAAA
[08:04:20]  laurabraus: BABS!!!!
[08:04:23]  babsmcnh: hi <3 hope you’re doing good
[08:04:26]  bauldi: Prayge bauldiAscend
[08:04:31]  haine_sense1: @babsmcnh the people who like crypto are also the people who don't use clothes for long?
[08:04:32]  babsmcnh: NOTED
[08:04:42]  laurabraus: @babsmcnh i’m at work but i’m good :)
[08:04:44]  bauldi: bauldiAscend let there be ktrzetto is live
[08:04:50]  303devilfish: congratulations
[08:04:54]  kirosthegreat: Bring the webcam with you
[08:05:01]  babsmcnh: @haine_sense1 oh I thought you were talking about crypto still
[08:05:03]  haine_sense1: lol
[08:05:05]  haine_sense1: no
[08:05:13]  haine_sense1: I hate talking about crypto
[08:05:18]  babsmcnh: I think the people who don’t use clothes much are like fashionistas
[08:05:21]  bauldi: crypto is an incredible way to gamble but not say youre gambling
[08:05:23]  bauldi: :)
[08:05:24]  haine_sense1: I literally took my earphones out
[08:05:42]  haine_sense1: @Bauldi sounds accurate
[08:05:44]  bauldi: because when I say I invest in bitcoin eth and crypto noone calls me stupid
[08:05:53]  babsmcnh: I think STEM people consume less clothes imo just cuz they know the amount of energy it takes in general
[08:05:58]  bauldi: but cant say that about blackjack
[08:06:09]  babsmcnh: But there’s so many other jobs
[08:06:16]  haine_sense1: @babsmcnh I consume less clothes because I'm awkward wearing different clothes
[08:06:24]  babsmcnh: Sameeee
[08:06:31]  laurabraus: also babs i hope UR doing good
[08:06:33]  babsmcnh: But like let’s say if you’re in business
[08:06:41]  303devilfish: i have a shirt that's literally dissolving, i've worn it for like 14 years
[08:06:47]  babsmcnh: For my sister she buys new clothes all the time
[08:06:59]  haine_sense1: @babsmcnh no, I'd rather die :)
[08:07:04]  babsmcnh: Thank you Laura HYPERS I’m gonna start a group therapy session soon
[08:07:15]  laurabraus: NICE
[08:07:25]  babsmcnh: I think people just like looking individual, which is fine
[08:07:50]  babsmcnh: But it has rly bad impacts since they throw it away and waste energy upcycling it
[08:07:52] ブライトくん bright_f4: Is he pooping?
[08:08:01]  babsmcnh: Yeah it’s a fat one apparently
[08:08:03]  303devilfish: ya
[08:08:03]  laurabraus: yes
[08:08:07] ブライトくん bright_f4: Lol that’s funny
[08:08:18]  babsmcnh: Hehe
[08:08:30]  babsmcnh: But yeah I think we don’t need that much clothes
[08:08:42] ブライトくん bright_f4: And just like that Pewdiepie became the biggest and richest YouTuber/streamer in Japan 🤣😂🤣😂 Cheer100
[08:08:44]  kirosthegreat: Woddling is based usausaNodders
[08:08:54]  babsmcnh: But some people think it’s embarrassing to wear the same shirt twice
