# Start logging at 2022-11-09 09:45:35 Tokyo Standard Time
[09:45:35] ktrZetto is live!
[09:45:35] 2022年11月9日
[09:46:13]  usausachu: First
[10:09:45]  robertzarmy: it was just pretty  neat to see people in the convention discord talking and be like oh wait i saw u guys in real life
[10:10:09]  usausachu: LUL
[10:10:44]  laurabraus: @robertzarmy oh wow yeah i havent been to a convention since ive been on discord. that would be cool and weird
[10:10:49]  robertzarmy: the classic lmao
[10:11:17]  robertzarmy: people just post selfies and shit and im like damn i saw u guys
[10:12:43]  robertzarmy: i want to arrange a cosplay and to go with more friends next year and to talk to more people to do more thing and to meet up with some people i talked to that are doing a panel but
[10:12:45]  robertzarmy: baby steps
[10:13:04]  chisasfam: this mario 64 update looks mad
[10:13:13]  robertzarmy: mad wicked update innit?
[10:13:20]  chisasfam: ikr lad
[10:13:22]  kaeos: ive only ever heard british people say "looks mad"
[10:13:32]  chisasfam: ok kaeos
[10:13:38]  robertzarmy: wtf ninji speedrun
[10:13:45]  robertzarmy: little gay ninji
[10:14:34]  kaeos: Lmao.
[10:14:51]  laurabraus: @robertzarmy was this your first convention?
[10:14:54]  kaeos: did you need to do all the star road things
[10:15:11]  shotmaker93: selfies are sad, like how sad is this you got no one to take a pic with
[10:15:12]  robertzarmy: laurabraus yeah lol
[10:15:17]  rickitarr64: how's it going zetz?
[10:15:23]  robertzarmy: and my friend had to cancel the first day so I was completely by myself
[10:15:41]  usausachu: I don’t take selfies much
[10:15:43]  shotmaker93: like wtf you got an album with you and the backround of your bathroom
[10:15:58]  shotmaker93: nice toilet seat dude
[10:16:05]  chisasfam: I take selfies but thats just bc i only hang out with my gf and we dony have any pictures together, yet
[10:16:29]  chisasfam: zetto i had a dream where you streamed without a mask
[10:17:00]  robertzarmy: thankfully when I was by myself I found some cool people to hang with
[10:17:04]  robertzarmy: pure luck tbh i was nervous af
[10:17:08]  shotmaker93: exactly
[10:17:20]  kaeos: i want to flex my $500 bidet
[10:17:36]  robertzarmy: DUDE bidets are so op
[10:17:41]  shotmaker93: that's a lie only Europe and Japan got those
[10:17:42]  laurabraus: @robertzarmy but you still managed to have a great time and get a positive experience!! thats great
[10:18:01]  robertzarmy: that is the one thing i am worried about studying in Japan is that they won't have bidets
[10:18:04]  robertzarmy: should i bring my own?
[10:18:06]  chisasfam: @robertzarmy Yk I think about what you look like, not in a weird way , but part of me wants to believe youre a huge coomer and the other part thinks youre just a normal dude
[10:18:06]  usausachu: I’ve seen zetto without mask usausaPrayge
[10:18:27]  kaeos: so have i :)
[10:18:30]  chisasfam: I think I have too idk , it was when i was stalking
[10:18:31]  kaeos: paypal me 50 bucks to see
[10:18:47]  chisasfam: but like
[10:18:54]  robertzarmy: laurabraus ya it was dope
[10:18:56]  chisasfam: it was in jan and when i went to check again it was gone
[10:19:05]  usausachu: Also I think I know Zetto’s real name because of the snacks he sent me clintSmug
[10:19:16]  kaeos: easily
[10:19:16]  usausachu: Some bidets are, but some are cheaper
[10:19:25]  usausachu: Like 50-100 is a cheap bidet
[10:19:26]  kaeos: ludwig sells a 500 dollar one
[10:19:29]  shotmaker93: people you need your ass clean aight
[10:19:30]  robertzarmy: normal bidets are 100 ish high tech ones are 500
[10:20:08]  kaeos: heated water and seats
[10:20:10]  robertzarmy: @robertzarmy i look pretty normal tbh
[10:20:18]  robertzarmy: just skinny and i look super young
[10:20:23]  robertzarmy: wish i looked older
[10:20:32]  kaeos: no
[10:20:35]  usausachu: No
[10:20:38]  robertzarmy: no bro normal bidets are just cold water lmao
[10:20:42]  usausachu: Usually they just have the cold water
[10:20:49]  shotmaker93: nope
[10:20:53]  shotmaker93: not here.
[10:20:56]  kaeos: japan privilege
[10:20:59]  kaeos: shit ass economy tho LULW
[10:21:20]  laurabraus: ill just wipe my ass manually thanks
[10:21:25]  usausachu: Zetto thinks privilege is having the ability to go to starbucks
[10:21:45]  robertzarmy: u dont understand laura
[10:21:49]  robertzarmy: i used to be a bidet denier too
[10:21:53]  kaeos: precise?
[10:21:58]  shotmaker93: it's not water infliation
[10:22:06]  usausachu: Extreme?
[10:22:19]  laurabraus: @robertzarmy what changed
[10:22:32]  robertzarmy: laurabraus i tried one
[10:22:34]  robertzarmy: and my world changed
[10:22:46]  robertzarmy: i realized my ass was dirty the whole time and bidet was the only solution
[10:23:00]  shotmaker93: when you use a bidet is not a clistere
[10:23:14]  laurabraus: ewwwww
[10:23:14]  chisasfam: we have bidets in brasil
[10:23:45]  robertzarmy: bidets should be the standard
[10:23:50]  robertzarmy: soo op
[10:23:56]  kaeos: why not just save state instead of going back to grab a cape feather its basically the same thing at this point
[10:24:09]  robertzarmy: why do u not trust them
[10:24:17]  usausachu: I don’t remember what country/culture uses those little scoops
[10:24:19]  usausachu: For water
[10:24:31]  shotmaker93: savages
[10:24:42]  usausachu: For using the bathroom
[10:24:57]  anglerangus: LIVE Pog
[10:25:21]  usausachu: It’s called a Tabo
[10:26:40]  chisasfam: cape this ratio
[10:26:47]  robertzarmy: holy fuck i am so juiced
[10:26:53]  robertzarmy: why am i drinking a bang at 8pm
[10:27:05]  chisasfam: you cant ratio twitch chat
[10:27:13]  anglerangus: is this the original game or some rom hack
[10:27:15]  chisasfam: zetto Ive never been ratio'd
[10:27:21]  chisasfam: @AnglerAngus its the new sm64 update
[10:27:25]  anglerangus: LUL
[10:28:02]  kaeos: why didnt you just throw the koopa up at him
[10:28:22]  kaeos: ic
[10:28:57]  kaeos: thank you for describing it in terms of basketball for all us athletes in chat
[10:29:23]  usausachu: HypeStress
[10:29:35]  usausachu: I’m an athlete, only in video games
[10:29:47]  kaeos: @UsaUsaChu i thought this was among us LULW
[10:30:23]  robertzarmy: anyone want to play some among us
[10:30:32]  kaeos: among us vr is soon
[10:30:57]  usausachu: You have to participate in a hype train
[10:31:00]  robertzarmy: HypeLUL HypeLove1 HypeMine
[10:31:03]  kaeos: you should play among us vr with xqc when it comes out
[10:31:07]  usausachu: @kaeos LUL
[10:31:42]  usausachu: HypeSus HypeCool HypeLUL HypeTongue HypeMine HypeBeard HypeYesPlease
[10:31:49]  shotmaker93: fuck xqc the real star here is zetto SeemsGood
[10:32:03]  usausachu: HypePopcorn HypeCozy1 HypeMwah HypePat HypeSquawk HypeEars HypeHide HypeBLEH HypeStress HypeHands2 HypeHai
[10:32:07]  usausachu: I got a bunch
[10:32:14]  robertzarmy: holy
[10:32:27]  kaeos: dont you have to give money to twitch streamers to count as participating
[10:32:52]  usausachu: Yeah
[10:32:59]  usausachu: But I usually use free bits
[10:33:14]  usausachu: I get about 100 free bits a month
[10:33:15]  robertzarmy: ill sub for a dub rn.
[10:33:26]  kaeos: bowser has some big balls huh
[10:34:05]  shotmaker93: if anything is an ass clown right there
[10:34:49]  kaeos: Lol.
[10:34:50]  robertzarmy: bro died in the worst way possible
[10:35:11]  kaeos: how did the "mario is 1 tile wide" guy die there
[10:35:49]  robertzarmy: hey zetto thoughts on gretchen whitmer vs tudor dixon?
[10:36:13]  usausachu: I think they’re people on the ballot
[10:36:13]  robertzarmy: the michigan governors
[10:36:14]  kaeos: isnt gretchen the environment girl
[10:36:15]  robertzarmy: we voted today
[10:36:31]  usausachu: Yeah it’s an election rn
[10:36:40]  usausachu: Countrywide election
[10:36:40]  kaeos: pussy ass fence sitter
[10:36:46]  anglerangus: LULW wtf
[10:37:06]  kaeos: you PAID for pixels?
[10:38:04]  kaeos: "i caught his landing" bro thinks hes playing smash 💀
[10:39:04]  kaeos: chargin chuck is a masher fr
[10:39:07]  shotmaker93: PAIN
[10:40:47]  kaeos: would yoshi die in the boss level
[10:40:47]  robertzarmy: try life farming
[10:40:51]  kaeos: no blastzones
[10:40:53]  robertzarmy: u prolly need it
[10:41:51]  robertzarmy: can u get a save outside of the castle where u have the powerups?
[10:41:54]  robertzarmy: and then just reload
[10:41:56]  robertzarmy: idk how this game works
[10:42:04]  kaeos: yes, with save states
[10:42:49]  robertzarmy: tom brady could do it
[10:43:12]  laurabraus: @robertzarmy prove it
[10:43:26]  kaeos: tom brady french kisses his son
[10:43:41]  robertzarmy: tom brady is the one who died in that plane crash
[10:43:41]  laurabraus: @kaeos source?
[10:43:42]  shotmaker93: how you know that?
[10:44:05]  laurabraus: i thought tom brady was a football player
[10:44:25]  kaeos: no he plays golf, you're thinking of michael phelps
[10:44:53]  robertzarmy: no that's a swimmer, you're thinking of michael jordan
[10:45:36]  infynoko: Damn, you running SMW now? ktrzetSmile
[10:45:42]  infynoko: Hope you’re well!
[10:46:14] robertzarmy redeemed Sound Alert: say hello! 100
[10:46:44]  robertzarmy: can u do the giveaway already plz
[10:46:48] usausachu redeemed Sound Alert: ANKHA ZONE 2000
[10:47:10]  kaeos: this song is a banger
[10:47:15]  kaeos: too bad i know where it comes from
[10:47:16]  shotmaker93: fuck is this?
[10:47:16]  robertzarmy: usa can u gift 67 subs?
[10:47:35]  infynoko: Grats!
[10:47:49]  anglerangus: Pog
[10:47:50]  kaeos: what a talented gamer :)
[10:47:54]  robertzarmy: LETS GOOOOOOO!!!!!!
[10:48:04]  laurabraus: we were here
[10:48:10]  chisasfam: vaccation to among us land
[10:48:17]  shotmaker93: Mario smash
[10:48:25]  robertzarmy: AMONG US!!!!!!!
[10:48:25] robertzarmy subscribed with Prime. They've subscribed for 8 months!
[10:48:40]  anglerangus: PepePls
[10:48:49]  infynoko: Among US. ICANT
[10:48:49]  kaeos: why did it say among U.S
[10:48:50]  chisasfam: mic muted
[10:48:56]  kaeos: ur muted
[10:48:59]  shotmaker93: is Wario time isn'it!?
[10:49:00]  chisasfam: you forgot to start the timer too btw
[10:49:19]  chisasfam: invalid run do it again
[10:49:34]  kirosthegreat: Congrats on finally beating a mario game
[10:49:38]  chisasfam: you do i said so
[10:49:45]  kaeos: ur run would still be invalid anyway
[10:49:49]  chisasfam: rta deez nuts
[10:50:05]  chisasfam: youre japanese, they dont allow japan speedrunners
[10:50:17]  infynoko: Really sucks that the any% run became an ACE setup in the first level. ktrzetFrown
[10:50:41]  chisasfam: japanese person pronounces yoshi weirdly
[10:50:45]  infynoko: Arbitrary Code Execution.
[10:50:47]  kaeos: ace means asexual
[10:50:50]  kaeos: or that
[10:51:04]  chisasfam: its yo-shi
[10:51:13]  chisasfam: not yowshi whats this american pronounciation smh
[10:51:16]  robertzarmy: moshi moshi
[10:51:17]  kaeos: british pronunciation LULW
[10:51:24]  shotmaker93: it's Croc, you prolly never heard of
[10:51:26]  chisasfam: You said yowshi smh
[10:51:30]  robertzarmy: yoshi yosh
[10:51:45]  chisasfam: weirdchamp
[10:51:51]  rickitarr64: it's true lol
[10:51:53]  kaeos: no you dont
[10:51:58]  infynoko: ShiBOOyah! pjpBatto
[10:52:02]  kaeos: you have a japanese accent
[10:52:07]  chisasfam: zetto can you speak in katakana
[10:52:17]  shotmaker93: Croc: Legend of the Gobbos no one?
[10:52:25]  chisasfam: YES
[10:52:26]  chisasfam: I CAN
[10:52:31]  kirosthegreat: Nardo Shipodan rikkuSit
[10:52:47]  robertzarmy: zetto can u speak in 35.6762° N, 139.6503° E
[10:52:51]  laurabraus: why is luigi in the portrait did he do anything
[10:52:54]  usausachu: No
[10:52:55]  infynoko: I’m a big fan of SahSOOkay from NayROOtoe! pjpBatto
[10:52:56]  chisasfam: bowkoo now heerow akadeymiah
[10:53:03]  usausachu: Jk you do you
[10:53:15]  kaeos: did you see erobb literally shit his pants
[10:53:30]  chisasfam: break the record is happening on the 25th - 27th :)
[10:54:04]  laurabraus: ohhh right
[10:54:12]  robertzarmy: did u see Clint Stevens being incredibly racist the other day
[10:54:13]  chisasfam: OH GUYS
[10:54:15]  kaeos: you should play 2 player with rinta
[10:54:17]  robertzarmy: caught live on camera
[10:54:18]  chisasfam: I FOUND OUT RAMUNE ISNT JAPANESE
[10:54:24]  kaeos: who tf is ramune
[10:54:25]  chisasfam: RAMUNE IS FUCKING BRITISH
[10:54:43]  chisasfam: Ramune, its a "japanese" drink
[10:54:49]  chisasfam: but its actually british
[10:54:57]  kaeos: good thing ive never drank it
[10:55:08]  infynoko: Luigi is dating Peach. He paid Bowser to keep Mario away, then gaslit his own brother into believing he was there to help. The story is only covered in detail in the drama CDs from 1991. peepoTalk
[10:55:13]  laurabraus: well it was made by someone who was british but it was also made in japan right
[10:55:18]  kirosthegreat: Baka Zetto is baka
[10:55:33]  chisasfam: @laurabraus yeah britan like showed it to japan 130 years ago and japan was like wow this is ours now
[10:55:45]  laurabraus: @Infynoko i wish this was true
[10:55:47]  kaeos: this dude needs a haircut fr 💯
[10:55:57]  usausachu: Kiros pog
[10:56:08]  chisasfam: zetto get visual kei bandman hair
[10:56:08]  robertzarmy: zetto is hontou majide baka x3
[10:56:16]  kaeos: what are you saying
[10:56:17]  kirosthegreat: @UsaUsaChu usausaBlush
[10:57:01]  chisasfam: zetto is visual kei bandman
[10:57:05]  chisasfam: from band ktr
[10:57:07]  kaeos: what is visual kei
[10:57:12]  chisasfam: good music
[10:57:19]  laurabraus: metal music
[10:57:20]  kaeos: emo thing LULW
[10:57:24]  chisasfam: its a style of japanese rock p much
[10:57:29]  robertzarmy: ktrzetto do that intro kaizo thing clint did
[10:57:29]  laurabraus: its more like a whole movement tbh
[10:57:32]  infynoko: You should try Invictus. Amazing ROM hack, but super difficult.
[10:57:36]  robertzarmy: i tried it and got through like 3 levels and gave up
[10:57:36]  chisasfam: like hair metal but japanese
[10:57:46]  chisasfam: @laurabraus yeah like most alt subcultures
[10:57:50]  infynoko: Learn 2 Kaizo is a good hack to start with though.
[10:58:01]  laurabraus: yeah the visuals are a big part. the fashion is a thing
[10:58:01]  chisasfam: visual kei is just flashy jrock
[10:58:06]  kirosthegreat: special k is delicious
[10:58:07]  laurabraus: yeah
[10:58:16]  kaeos: sounds wack tbh
[10:58:22]  chisasfam: its great
[10:58:26]  chisasfam: and its not only metal
[10:58:30]  laurabraus: its good if you like hard rock music
[10:58:40]  chisasfam: it is only the visuals , like alot of vkei bands are quite poppy rn
[10:58:44]  laurabraus: actually theres a visual kei band with a violinist too
[10:58:56]  chisasfam: but the super popular ones are like more metal and rock
[10:59:03]  chisasfam: but lots and lots are more poppy
[10:59:14]  infynoko: Yep.
[11:00:04]  nightbot: Tip me here: https://streamlabs.com/ktrzetto/tip
[11:00:09]  infynoko: Secret exit directly above.
[11:00:25]  kaeos: this dude is looking up guides for mario 💀
[11:00:26]  laurabraus: i need to listen to newer visual kei bands im not really up to date on anything from the past 3 years
[11:00:48]  shotmaker93: Zetto you said no need for gamesfaq
[11:00:57]  laurabraus: @Shotmaker93 so true
[11:01:00]  nightbot: EHEHE Follow me on Twitter: https://twitter.com/ktrZetto
[11:01:07]  kaeos: you could just look up the outcome on youtube :)
[11:01:37]  shotmaker93: and is or is it not a blind run ehhh
[11:02:36]  infynoko: Damn, you almost got ghosted as bad as I did the last time I tried using Tinder. BatChest
[11:03:31]  laurabraus: @Infynoko tinder's a vast wasteland for guys i hear
[11:03:59]  infynoko: The ghosts almost killed you. NotLikeThis
[11:04:20]  robertzarmy: im gonna use tinder.
[11:04:37]  usausachu: I was using a game guide website and got the pop up ads
[11:04:37]  infynoko: “How do I go down? I have to push down.” ICANT
[11:04:39]  shotmaker93: and get catfished
[11:04:41]  laurabraus: @robertzarmy can you screen share i wanna see what girls say
[11:04:43]  usausachu: Check DMs, don’t show on stream
[11:05:01]  robertzarmy: that's a fucked up thing to say Laura
[11:05:11]  robertzarmy: all I want is a cute cosplay gf is that too much to ask for
[11:05:15]  kaeos: dont you need to be 18 to use tinder
[11:05:17]  laurabraus: @robertzarmy i meant like what they say on their profiles
[11:05:25]  laurabraus: robi s 18
[11:05:28]  laurabraus: is*
[11:05:28]  kaeos: no
[11:05:36]  robertzarmy: I voted today
[11:05:38]  kaeos: no
[11:05:48]  johnny3oak: docCBT
[11:05:56]  shotmaker93: that zetto siper look
[11:06:00]  shotmaker93: sniper
[11:06:03]  kaeos: SHOW AD
[11:06:06]  usausachu: Pop up ads
[11:06:06]  kirosthegreat: ads be like
[11:06:09]  robertzarmy: ok im out have fun king.
[11:06:13]  kaeos: no way its not booba
[11:06:15]  kaeos: yeah show
[11:06:15]  johnny3oak: what
[11:06:21]  laurabraus: @robertzarmy bye king
[11:06:26]  robertzarmy: bye queen.
[11:06:39]  johnny3oak: yea
[11:06:41]  shotmaker93: sucking a dick from her ass
[11:06:53]  chisasfam: o damn you went to pace
[11:06:54]  infynoko: Pace pal, reporting in. ktrzetSmile
[11:06:59]  johnny3oak: simply was literally flipping me off
[11:07:01]  johnny3oak: i filmed that shit
[11:07:02]  chisasfam: did you meet cheese
[11:07:10]  infynoko: You have to fly up top.
[11:07:12]  johnny3oak: yeah i met all the runners
[11:07:16]  chisasfam: niceeee
[11:07:28]  infynoko: Grab the P switch and fly up with it.
[11:07:39]  kirosthegreat: Probably just a vacuum service trying to make a new viral ad shrkThinking
[11:07:40]  infynoko: Restart the level. ICANT
[11:07:48]  infynoko: Need cape.
[11:08:03]  infynoko: Well, you can use the cloud, but that strat sucks.
[11:08:23]  shotmaker93: pussy vacuum best feeling
[11:08:38]  infynoko: There’s a cape on the left side of Star World 1, just in case you run out.
[11:09:08]  infynoko: Oh yeah, you entered from there.
[11:09:35]  infynoko: Yeah, it’s a fun game to learn.
[11:10:05]  infynoko: One of the only games I ever had a relatively competitive time in.
[11:10:27]  infynoko: There are capeless categories, if you’d prefer those.
[11:11:27]  infynoko: To access Star World 1 you need to enter from above and to the right of Donut Plain 1.
[11:11:43]  infynoko: Or just go all the way round, yeah.
[11:12:06]  shotmaker93: Dark Cloud was a fun rpg
[11:12:31]  infynoko: Ever seen zipping? Technique to teleport through these bricks at a diagonal.
[11:13:17]  infynoko: On the right.
[11:13:39]  infynoko: Best to reset.
[11:13:52]  infynoko: Hard right.
[11:14:56]  shotmaker93: DansGame explain
[11:14:56]  usausachu: He lost
[11:15:08]  kirosthegreat: usausaNodders
[11:15:21]  shotmaker93: get a rag
[11:15:34]  infynoko: Best way is to run, ignore Yoshi, hold Y to grab the P switch and take it up with you.
[11:16:10]  infynoko: Holding an item makes controlling your ascent easier.
[11:16:50]  infynoko: You just need to run right far enough to gain flight speed.
[11:17:30]  infynoko: Nice one. ktrzetSmile
[11:17:46]  kaeos: play cyberpunk 2077
[11:18:21]  usausachu: Watch cyberpunk 2077 on stream
[11:18:24]  usausachu: We won’t report you
[11:18:24]  infynoko: There’s post-game content in SMW after all exits.
[11:19:50]  kaeos: > grab powerup > lose it immediately
[11:21:25]  johnny3oak: cyberpunk
[11:21:34]  usausachu: It’s about the world of cyberpunk
[11:21:40]  johnny3oak: its about cyberpunk man
[11:21:47]  usausachu: Characters that existed in the world before the game setting
[11:21:47]  kirosthegreat: Part cyber, part punk
[11:21:59]  kaeos: its not that deep, its cyberpunk
[11:22:01]  usausachu: It’s a really happy romance anime
[11:22:13]  johnny3oak: very wholesome anime, reminds me of blend-S
[11:22:14]  usausachu: You don’t need to play the game to watch it
[11:22:32]  usausachu: It’s about a group of people
[11:23:00]  usausachu: Smile! Sweet! Sadistic, smoke weed
[11:23:27]  infynoko: Bro thought he was playing Mario. Welcome to a shmup. BatChest
[11:24:27]  infynoko: Can’t you just make save states?
[11:24:49]  shotmaker93: ore wa ne  kamome ni horeta  tasogare oyaji, aoi umi o nagamete wa  naki, aoi minato wa kamome  koishikute.
[11:25:08]  infynoko: I’d argue that it helps you learn faster. Less time wasted. SeemsGood
[11:27:19]  shotmaker93: good shit Zetto
[11:27:32]  kirosthegreat: romaji is hard usausaCry
[11:27:47]  usausachu: Hitotsuhegiheini hegihoshi hajikami
[11:28:13]  usausachu: Tongue twister
[11:28:19]  usausachu: 東京特許許可局
[11:28:41]  kaeos: boku chinchin wa chiisai
[11:28:45]  infynoko: Anime was a mistake.
[11:28:55]  usausachu: 坊主が屏風に上手に坊主の絵を描いた
[11:28:56]  kaeos: HUH
[11:28:59]  usausachu: HUH
[11:29:03]  shotmaker93: yes
[11:29:10]  kirosthegreat: fun time twilUnzip
[11:29:27]  shotmaker93: chinchin is cock
[11:30:08]  usausachu: 裏庭には二羽庭には二羽鶏がいる
[11:30:36]  infynoko: The real secret is that Mario isn’t a licensed plumber. ktrzetFrown
[11:30:39]  kirosthegreat: I like the bird one rikkuSit
[11:30:40]  shotmaker93: Kreygasm
[11:30:51]  usausachu: LUL
[11:30:54]  usausachu: Yeah
[11:31:02]  shotmaker93: about to cum?
[11:31:09]  kaeos: are you illiterate
[11:31:12]  kaeos: whats happening
[11:31:35]  usausachu: It’s a tongue twister guys
[11:31:59]  kaeos: 4th grade reading comprehension ICANT
[11:32:25]  shotmaker93: hehe
[11:32:30]  kaeos: btw i had a good idea, that if you really want to grow your stream, you should stream a game with a large community of gay men
[11:32:42]  shotmaker93: what else she said Zetto
[11:33:25]  usausachu: usausaNodders
[11:33:51]  usausachu: つみだて つみまめ つみざんしよう
[11:34:25]  kirosthegreat: Usa's definitely on a tongue twister site orooLUL
[11:34:43]  usausachu: These are from an anime that I remember usausaNodders
[11:35:01]  usausachu: They’re just tongue twisters so, it’s just a bunch of real words together kinda
[11:35:08]  usausachu: ブバグバグバグバグミバグバグ  アワセテブガバグ ムブバグ
[11:35:16]  usausachu: I like this one a lot
[11:35:22]  infynoko: I’d ask for more sentences, but I’m saving up for a compliment. ktrzetSmile
[11:35:26]  shotmaker93: NotLikeThis NotLikeThis NotLikeThis
[11:35:29]  infynoko: No spoilers. ICANT
[11:36:18]  infynoko: The overworld even changes colour. BatChest
[11:37:39] shotmaker93 redeemed Dab 200
[11:37:42]  infynoko: Wait, you did Star World 5, right?
[11:37:50]  usausachu: 李も桃も桃のうち
[11:38:20]  usausachu: 右耳右目右目右耳
[11:38:41]  usausachu: Plum
[11:38:42]  usausachu: Ye
[11:39:03]  usausachu: Yeah
[11:39:08]  usausachu: I didn’t realize what it said at firsr
[11:39:14]  usausachu: Because I thought it was repeating
[11:40:46]  infynoko: Can you go to Star Road for a sec, please?
[11:40:54]  usausachu: 母はははは母の母はははははと笑う
[11:41:01]  usausachu: This one is fucked LUL
[11:41:20]  kirosthegreat: kek
[11:41:38]  usausachu: Your mom
[11:41:44]  shotmaker93: hehe
[11:41:50]  kirosthegreat: literally LUL
[11:42:03]  infynoko: Wrong way. ktrzetFrown
