# Start logging at 2022-02-10 06:58:52 Tokyo Standard Time
[06:58:52]  chef_zack: Pog
[07:17:23]  haine_sense1: but Kirby's 2d games are better...
[07:17:39]  chef_zack: well maybe you're bitch made robert
[07:17:40]  laurabraus: i dont like that
[07:17:46]  haine_sense1: it really does look stupid
[07:17:47]  laurabraus: I DONT LIKE THIS
[07:17:48]  robertzarmy: @Chef_Zack ratio
[07:17:52]  cosmicmikan: LMAO
[07:17:57]  cosmicmikan: become a cone
[07:18:05]  chef_zack: thats cool
[07:18:11]  laurabraus: cause kirby immense pain by pushing him to the limit
[07:18:14]  robertzarmy: bro
[07:18:16]  chef_zack: yooo i can be a tiddy
[07:18:17]  robertzarmy: inflation kirby
[07:18:29]  haine_sense1: so basically, they're doing the same thing as they already were doing but with random objects instead of enemies
[07:18:42]  laurabraus: this game is on my wishlist tho
[07:19:01]  laurabraus: i dont even have a switch
[07:19:10]  robertzarmy: someone stole my switch
[07:19:29]  haine_sense1: important day
[07:19:32]  cosmicmikan: you got a bodypillow?
[07:19:35]  chef_zack: 20 more minutes
[07:19:36]  cosmicmikan: will you show the class?
[07:19:49]  chef_zack: SHOTIME
[07:20:05]  robertzarmy: 10 fps OMEGALUL
[07:20:27]  haine_sense1: make sure you stream while cuddling the bodypillow
[07:20:37]  chef_zack: crossplay Pog
[07:21:02]  cosmicmikan: KINGDOM HEARTS
[07:21:12]  chef_zack: why is kingdom hearts a ps2 game a cloud game
[07:21:14]  robertzarmy: they will anounce a persona 3 remaster
[07:21:20]  cosmicmikan: @robertzarmy PLEASE
[07:21:25]  haine_sense1: @robertzarmy that would be nice
[07:21:29]  cosmicmikan: HOPIUM
[07:22:08]  chef_zack: Pog portal
[07:22:10]  chef_zack: what the fuck
[07:22:28]  laurabraus: portal is so old
[07:22:36]  chef_zack: portals good though
[07:22:37]  haine_sense1: I played both of them ages ago
[07:22:38]  laurabraus: someone bought it for me in college and i never finished it
[07:22:50]  robertzarmy: who fucking cares about portal on switch dude
[07:22:51]  chef_zack: portal 2 is co op
[07:22:53]  cosmicmikan: i played the first one last year for the first time
[07:22:58]  cosmicmikan: the first is solo
[07:22:58]  haine_sense1: it just said the second one had coop
[07:23:22]  robertzarmy: omg its mario
[07:23:32]  haine_sense1: looks potentially good
[07:23:39]  kaeos: this nintendo direct hits harder than melatonin
[07:23:49]  haine_sense1: LOL
[07:24:03]  chef_zack: god damn
[07:24:28]  chef_zack: thats some hopium
[07:24:31]  robertzarmy: they gonna announce like 1 thing
[07:24:36]  haine_sense1: they often have some good big announcements at the end
[07:24:47]  chef_zack: POGGERS
[07:24:50]  chef_zack: WHAT THE FUCK
[07:24:52]  robertzarmy: OMG
[07:24:54]  laurabraus: BRO
[07:24:54]  robertzarmy: NO WAY
[07:24:57]  haine_sense1: lol
[07:25:02]  haine_sense1: that's amazin
[07:25:05]  haine_sense1: amazing
[07:25:08]  robertzarmy: oh it looks gross
[07:25:13]  robertzarmy: never mind
[07:25:13]  chef_zack: this is not
[07:25:18]  kaeos: play switch bowling with viewers
[07:25:21]  kaeos: id smoke u
[07:25:31]  robertzarmy: DansGame
[07:25:44]  kaeos: i have 2 switches
[07:25:44]  kaeos: not a flex
[07:25:53]  robertzarmy: big flex.
[07:25:53]  laurabraus: that is a flex wtf
[07:26:00]  chef_zack: uh
[07:26:07]  nightbot: Check out my Socials!: Twitter https://twitter.com/ktrZetto Youtube https://www.youtube.com/ktrZetto Discord https://discord.gg/T4GrmEbfcS
[07:26:25]  chef_zack: this is like the monkey paw curling when people asked for wii sports on switch
[07:26:49]  robertzarmy: damn wii sports matchmaking
[07:27:07]  chef_zack: Pog yoshiaki koizumi
[07:27:16]  robertzarmy: how long is the direct
[07:27:17]  robertzarmy: ?
[07:27:23]  chef_zack: 13 more minutes
[07:27:23]  haine_sense1: 40 I thinl
[07:27:34]  kaeos: can u live translate the japanese
[07:28:06]  cosmicmikan: lmfao
[07:28:10]  laurabraus: the ball is even the same colors
[07:28:12]  haine_sense1: it's like haikyuu but much worse
[07:28:16]  laurabraus: isnt it
[07:28:42]  cosmicmikan: isnt haikyuu getting ano0ther season this year?
[07:28:50]  robertzarmy: here comes xenoblade
[07:29:24]  chef_zack: OMEGALUL
[07:29:38]  cosmicmikan: ayy my bday
[07:30:03]  chef_zack: kirby is sick EZ
[07:30:11]  haine_sense1: Woo Taiko
[07:30:15]  nightbot: What's up, local degenerate shillbot here to tell you that if you have Amazon Prime, you can link it with your Twitch account for a free sub!
[07:30:18]  robertzarmy: they are gonna announce anything lmao
[07:30:19]  robertzarmy: arent
[07:30:32]  chef_zack: taiko is fun
[07:30:33]  cosmicmikan: i used to love that game
[07:31:25]  haine_sense1: over 500 songs at launch with online?
[07:31:33]  chef_zack: ResidentSleeper triangle strategy
[07:31:39]  kaeos: ResidentSleeper triangle strategy
[07:31:44]  chef_zack: this game is octopath 2 ResidentSleeper
[07:31:52]  haine_sense1: they realised that they could easily port tactical rpgs
[07:31:59]  haine_sense1: so did for lots of them
[07:32:07]  chef_zack: cupfoot BatChest
[07:32:16]  robertzarmy: ur not good enough to beat cuphead
[07:32:21]  chef_zack: its on gamepass
[07:32:37]  chef_zack: true
[07:32:41]  robertzarmy: u cant beat dark souls 3 either
[07:32:50]  chef_zack: uh
[07:32:57]  chef_zack: this game was already difficult
[07:33:06]  chef_zack: no wtf
[07:33:11]  chef_zack: bitchmade mode
[07:33:34]  chef_zack: POGGERS
[07:33:35]  kaeos: W
[07:33:43]  robertzarmy: ports to switch are all lame
[07:33:47]  robertzarmy: i dont even have a switch
[07:33:52]  chef_zack: no
[07:33:55]  chef_zack: thats mother 3
[07:34:15]  chef_zack: earthbound is mother 2 in the united states
[07:34:22]  chef_zack: earthbound beginnings is mother 1
[07:34:27]  chef_zack: and mother 3 is unreleased
[07:35:02]  robertzarmy: i love demon slayer!
[07:35:16]  chef_zack: mother 3 probably wont get released due to controversial topics
[07:35:16]  haine_sense1: So far I think Linkus will have been sad
[07:35:27]  cosmicmikan: idk but i like the music
[07:35:54]  haine_sense1: it's true
[07:36:05]  laurabraus: they always try to save best for last
[07:36:05]  haine_sense1: it would be at the very end if they were gonna say anything
[07:36:08]  chef_zack: POGGERS
[07:36:14]  haine_sense1: ooh MK
[07:36:21]  robertzarmy: get owned
[07:36:21]  chef_zack: POGGERS thats fine
[07:36:25]  robertzarmy: Jebaited
[07:36:29]  chef_zack: POGGERS Wtf
[07:36:29]  kaeos: holy shit more maps for u to get 12th on
[07:36:48]  haine_sense1: I wish they'd release new things...
[07:37:05]  chef_zack: this is hype
[07:37:11]  chef_zack: WHAT
[07:37:15]  chef_zack: WHAT THE FUCK
[07:37:16]  robertzarmy: new xenoblade next
[07:37:25]  haine_sense1: Ok, so they're basically just releasing a full new set of courses
[07:37:26]  haine_sense1: woah
[07:37:28]  robertzarmy: they said 2023?
[07:37:35]  laurabraus: thats like a whole new game really
[07:37:41]  chef_zack: by 2023
[07:38:02]  robertzarmy: u know itll just be for the first one
[07:38:30]  robertzarmy: what is this
[07:38:34]  haine_sense1: hm...
[07:38:41]  cosmicmikan: i want a new tales game
[07:38:43]  haine_sense1: what is it though...
[07:38:47]  robertzarmy: is it xenoblade
[07:38:49]  robertzarmy: idk what this is
[07:38:58]  haine_sense1: it does look like xenoblade
[07:39:07]  kaeos: fuk
[07:39:13]  haine_sense1: since the xenoblade is in it
[07:39:19]  cosmicmikan: HAHAHAHAHA
[07:39:23]  cosmicmikan: i was wondering that too
[07:39:25]  chef_zack: british "people"
[07:39:31]  cosmicmikan: LUL
[07:39:39]  haine_sense1: fuck you and your terrible Bri'ish accent
[07:39:47]  kaeos: this is one of the series where i lose respect for people when i find out they play it
[07:40:24]  robertzarmy: dogshit direct
[07:40:26]  haine_sense1: @kaeos does that include if they played the first one?
[07:40:32]  kaeos: any
[07:40:42]  cosmicmikan: ok now i gotta look up the fe announcement
[07:41:05]  kaeos: the series i lose respect for people are kinddom hearts, fire emblem, xenoblade, and persona
[07:41:07]  haine_sense1: @kaeos even if I was kinda required to since my brother had translated it so was in the credits?
[07:41:10]  cosmicmikan: oh
[07:41:11]  cosmicmikan: well
[07:41:15]  cosmicmikan: now im just depressed
[07:41:19]  laurabraus: @kaeos why
[07:41:38]  kaeos: bc i think theyre unenjoyable
[07:41:46]  robertzarmy: persona 4 is good
[07:41:50]  cosmicmikan: YES
[07:41:56]  cosmicmikan: p3 my fav tho
[07:42:10]  kaeos: that direct sucked ass
[07:42:23]  chef_zack: ???
[07:42:49]  chef_zack: https://i.imgur.com/uwgsdla.png kaeos this is you
[07:43:12]  kaeos: im not angry at them
[07:43:15]  kaeos: i just didnt like it
[07:43:57]  chef_zack: mariokart earthbound strikers
[07:44:10]  chef_zack: like this is a good direct objectively
[07:44:27]  chef_zack: bro 48 tracks is huge
[07:45:09]  chef_zack: plus nintendo realized that they dont wanna abandon the 29 million people who bought deluxe
[07:45:12]  nightbot: Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[07:49:21]  acemussel: Pog solved
[07:49:55]  acemussel: Clap
[07:50:34]  acemussel: simpKEK maybe he got sad
[07:50:40]  acemussel: i didnt watch either
[07:50:54]  acemussel: sounds right
[07:51:29]  acemussel: i dont think he really cares
[07:51:49]  cosmicmikan: gotta bounce for a bit. be back later!
[07:52:19] 샤보이 schaboi: 😳hi zetto
[07:52:59] 샤보이 schaboi: What’s good eeyore3WAVE
[07:53:39] 샤보이 schaboi: Do you still ever play mk wii?
[07:54:43] 샤보이 schaboi: Have you ever made a MK tier list
[07:55:13] 샤보이 schaboi: Pog
[07:55:24] 샤보이 schaboi: I’m on mobile but I’m going to pc, I can link then
[07:57:57] 샤보이 schaboi: whttps://tiermaker.com/create/all-mario-kart-games-296063 is this missing a game or two?
[07:58:03] 샤보이 schaboi: shit
[07:58:07] 샤보이 schaboi: https://tiermaker.com/create/all-mario-kart-games-296063
[07:58:37]  ktrzetto: !title
[07:58:37]  nightbot: @ktrZetto -> Current Stream Title: 【EN/JP】[short] weebs welcome~ Nintendo Direct Watching
[07:59:25]  ktrzetto: !title 【EN/JP】[short] weebs welcome~ ☆70 Speedruns | PB 1:03:03
[07:59:25]  nightbot: @ktrZetto -> The stream title has been updated to: 【EN/JP】[short] weebs welcome~ ☆70 Speedruns | PB 1:03:03
[08:01:33] 샤보이 schaboi: arcade? 👀
[08:02:09]  chef_zack: ur dumb
[08:02:19]  chef_zack: mf put 7 over dd
[08:02:23] 샤보이 schaboi: Pog
[08:02:26] 샤보이 schaboi: BASED
[08:02:51]  andrewangus: mk wii EZ
[08:03:29]  chef_zack: wrong
[08:03:45]  chef_zack: double dash is the melee of mariokart
[08:04:29] 샤보이 schaboi: zack you trippin
[08:04:38] 샤보이 schaboi: double dash overrated
[08:04:52] 샤보이 schaboi: LUL
[08:04:59]  chef_zack: COPIUM
[08:05:03]  chisasfam: oiiiiii
[08:05:06]  chisasfam: oi oi
[08:05:17] 샤보이 schaboi: i wish DS had multiplayer rollback, that would be the most insane shit ever
[08:05:42]  chisasfam: Mario Kart 8 is my number 1 bc King Boo
[08:05:50]  andrewangus: true LUL
[08:05:52]  chisasfam: Even though Yoshi is my number 1 main <3
[08:06:21]  chisasfam: does wii have king boo?
[08:06:24]  chisasfam: hm
[08:06:27]  chisasfam: wii was okay
[08:06:43]  chisasfam: I remember crying bc of it
[08:06:49]  chef_zack: i dont agree
[08:06:55]  chisasfam: when I lived in brasil my cousins were playing mario kart on the wii
[08:07:06]  chisasfam: and my favourite cousin wanted my other cousin to win
[08:07:08] 샤보이 schaboi: LUL
[08:07:09]  chisasfam: and it made me sad
[08:07:21]  andrewangus: Sadge
[08:07:26]  chisasfam: bc I wanted to win
[08:08:24]  chef_zack: i mean probably all the mariokarts are active
[08:08:49]  chisasfam: who remembers mario kart tour
[08:09:24]  chef_zack: alot of records in wii are set by a  guy named logan
[08:10:17]  chef_zack: selection bias COPIUM
[08:11:39]  chef_zack: wii and double dash have 8 and 5 different players
[08:12:14]  chef_zack: holy shit this guys nuts
[08:12:19] 샤보이 schaboi: you should watch a mkds record, they are aids
[08:12:23] 샤보이 schaboi: Pog
[08:12:34]  chisasfam: cracked asf
[08:12:44] 샤보이 schaboi: this movement is insane
[08:12:56]  chisasfam: Have you seen the single stage runs for Super Mario 3D world on the Switch
[08:12:58]  chef_zack: miis are good because you can have any weight class
[08:13:00]  chisasfam: theyre so cracked
[08:14:17]  chisasfam: would you get any piercings or tattoos?
[08:14:49]  chisasfam: oh yeah, people would think youre yakuza :s
[08:15:02] 샤보이 schaboi: you should get a face tat
[08:15:08] 샤보이 schaboi: of a gun
[08:15:17]  chisasfam: its sad that that steryotype still exists
[08:15:29]  chisasfam: is it only the older gen that thinks that or also the young?
[08:17:10]  chisasfam: is the Yakuza still active or are they like the Mafia, where you dont hear about them like ever
[08:18:34]  chisasfam: yeah yeah, I saw a video saying that the police doesnt stop them bc them being around lowers the crime rate or something?
[08:19:00]  chisasfam: I have 0 clue
[08:20:01]  chisasfam: Coke or pepsi?
[08:20:28]  chisasfam: :o
[08:20:39]  chisasfam: okay Blackcurrant juice or orange
[08:20:52]  chisasfam: HOW
[08:20:53]  chef_zack: what is blackcurrant
[08:20:55]  chisasfam: black current
[08:20:57]  chisasfam: bruh
[08:21:00]  chef_zack: tf is that
[08:21:03]  chisasfam: its the nicest juice ever
[08:21:10] 샤보이 schaboi: what is konpeko
[08:21:40] 샤보이 schaboi: rrat
[08:21:43]  chisasfam: Blackcurrents are banned in america
[08:21:53]  chisasfam: theyre normally found in Europe and North Asia
[08:22:05] 샤보이 schaboi: all fruit is banned in NA
[08:22:15]  chisasfam: black currants banned because the plants became a vector for a disease that threatened to annihilate all pines in America
[08:22:34]  chisasfam: Black currents are, theyre black currents, Ill send a picture of them to the discord
[08:22:47]  chef_zack: black currents are black currents
[08:22:48]  chef_zack: brilliant
[08:22:54]  fredmanftw: hey zetto! I have come to watch as the title commanded me to usausaSpooder
[08:24:48]  huckleberry262: liamkL
[08:25:27]  chisasfam: Okay I sent the black currents
[08:25:39]  chisasfam: Blackcurrants*
[08:26:01]  musicelliott: Time to hit under 1 hour now on time
[08:26:54]  chisasfam: Manifesting the sub 1
[08:27:40]  huckleberry262: prime's doing his first 70 rn and he at 2.5 hrs rn
[08:27:56] 8 raiders from TommySUX have joined!
[08:28:05]  diplokat: Raid!
[08:28:10] 6 raiders from brandonglovich have joined!
[08:28:15]  tommysux: double raid babyyyyyy
[08:28:16]  chisasfam: welcome raiders <3 <3
[08:28:20]  epsilonwants: raid
[08:28:32]  chisasfam: :oo pop off!
[08:28:41]  tommysux: we were streaming together and i told em you were BASED as F
[08:28:43]  brandonglovich: Ayyo ayyo I heard we're having a good time here what's up
[08:28:54] 샤보이 schaboi: Pog
[08:29:07]  musicelliott: premierJam welcome!
[08:29:30]  viridivulpis: nice to be here
[08:29:33] 샤보이 schaboi: we don't even have to try, it's always a good time PepePls
[08:30:00] 샤보이 schaboi: monkaS maybe
[08:30:27]  chisasfam: Oh I thought this was Roblox PeepoLeave
[08:30:58]  smearbears: Do you have your BLJ's locked down?
[08:31:07]  chisasfam: and 0 star is just for gods
[08:32:04]  smearbears: GOT THE SKIP! POGGIES2
[08:32:29]  chisasfam: 1 star is baby 0 star
[08:33:06]  ktrzetto: !so TommySUX
[08:33:06]  nightbot: Check out TommySUX who was last seen playing "Special Events". Give them a follow at twitch.tv/TommySUX
[08:33:10]  ktrzetto: !so brandonglovich
[08:33:33]  tommysux: mario kart wii community is aLIVE bro
[08:33:39]  tommysux: just got a new mario kart reveal
[08:33:43]  chisasfam: DUDE ITS SQUID GAME AMONG US
[08:33:44]  ktrzetto: !so2 brandonglovich
[08:33:44]  nightbot: Check out brandonglovich who was last seen playing "Special Events". Give them a follow at twitch.tv/brandonglovich
[08:33:50]  8bitbasement: Does watching the intro over and over start to drive you insane? lol
[08:33:57]  smearbears: How long have you been running this game? Like when did you start
[08:34:13]  brandonglovich: Thank you kindly brando160EulaLove
[08:34:31]  8bitbasement: Ah that's fair~
[08:35:10]  chisasfam: zetto my best friend Ill brb
[08:35:31]  chisasfam: glgl ill be back soon
[08:36:04]  smearbears: does the whole run depend on this lakitu skip
[08:36:13]  viridivulpis: lakitu is 100% rng
[08:36:54]  musicelliott: You got this. The MC stands for Mario Cool remember? 😎
[08:36:57]  smearbears: 10 seconds in the long run isn't too bad, but I can see wanting to restart. makes the run have a "bad start"
[08:37:46]  zekru_: 🍀🍀🍀
[08:40:37]  smearbears: is owl star apart of 70 star
[08:41:43]  smearbears: mwah
[08:41:53]  smearbears: your 7tv emotes are something else
[08:42:07]  haine_sense1: lol
[08:42:18]  haine_sense1: someone new seeing the 7tv emotes
[08:42:37]  smearbears: LickAnnyThighs
[08:42:40]  viridivulpis: bttv emotes are something too lol
[08:42:49]  haine_sense1: @SmearBears that's concerning...
[08:43:15]  viridivulpis: i didnt say i didnt like them tho
[08:43:34]  smearbears: umbreonWalk WTF LMAO
[08:43:51]  smearbears: it's just umbreon bro
[08:43:56]  viridivulpis: umbreonWalk
[08:44:14]  viridivulpis: totally just umbreon
[08:45:24]  smearbears: I am a Silly Champ enjoyer though
[08:46:56]  smearbears: why do you need to use a different controller for throws? is it the spinning
[08:47:27]  smearbears: that wasn't a bad darkworld tbh
[08:49:14]  smearbears: Pengwing HYPERS
[08:50:13]  chisasfam: Hello zetto meu amigo
[08:50:20]  chisasfam: I have returned
[08:50:28]  chisasfam: and yellow is pee
[08:50:32]  chisasfam: or very good
[08:50:55]  chisasfam: unless you set your golds to rainbow
[08:51:20]  chisasfam: BRO WERE YELLOWING RN FRRRR
[08:51:34]  smearbears: BillyPosingWithHisCuteWaifus
[08:52:35]  chisasfam: me when you arent yellowing : BibleThump
[08:53:14]  chisasfam: congrats on your yellow
[08:53:16]  smearbears: i can't wait for mips
[08:53:29]  chisasfam: but its actually called Golding not yellowing smh
[08:53:42]  chisasfam: the ghost is trolling
[08:53:48]  chisasfam: we do alittle tomfoolery
[08:53:59]  smearbears: Sadge
[08:54:20]  chisasfam: in 120 you do it twice B)
[08:54:24]  darkphoeen1x: hey
[08:54:29]  chisasfam: o h
[08:54:35]  chisasfam: 70 star sadge
[08:55:01]  darkphoeen1x: how are you?
[08:55:05]  chisasfam: 16 star is I want to speedrun but dont have time
[08:55:18]  chisasfam: 70 star is I like long categories but dont have alot of time
[08:55:22]  chisasfam: and 120 is I have time
[08:55:47]  smearbears: is 16 star really optimized now?
[08:56:25]  chisasfam: its also like not as much of a loss losing a run in 16 star fire sea compared to losing it in 70 or 120
[08:56:49]  chisasfam: in 16 you could get away with 1 or 2 ground pounds depending on your skill level
[08:57:28]  chisasfam: COUGH liams wr
[08:57:33]  chisasfam: it had so many mistakes
[08:57:38]  chisasfam: then he got 1:37
[08:58:11]  darkphoeen1x: i miss mostly the stream bc i play ff14 or i am sleeping, today is weird i woke up 3 Hours ago (10 pm for me)
[08:59:16]  chisasfam: Lakitu bounce
[08:59:36]  chisasfam: or chip clip
[09:00:35]  chisasfam: the SM64DS 100% has so much room for improvement
[09:01:42]  chisasfam: cheese sometimes does flyguy less
[09:02:07]  chisasfam: slip also does Longjump canonless I THINK but he does 16
[09:02:33]  chisasfam: from the stone bridge you long jump
[09:02:44]  chisasfam: instead of walking onto the wooden plank
[09:02:50]  huckleberry262: LJ cless saves like half a sec I know weegee does it too its pretty nuts
[09:04:00]  chisasfam: I think you long jump and hope for the best
[09:04:01]  chisasfam: like every strat
[09:04:10]  huckleberry262: idk all the technical stuff bout it but looks swaggy as hell
[09:06:06]  bauldi: speedge
[09:06:10]  bauldi: !lurk
[09:06:10]  nightbot: ktrzetLurk bye bitch
[09:07:41]  chisasfam: On your splits you could have a segment timer so its easier to visualise your pace?
[09:07:46]  babsmcnh: opinion on direct?
[09:08:41]  kiy0t3: poo in the loo you .....
[09:08:41] kiy0t3 subscribed at Tier 1. They've subscribed for 14 months!
[09:09:13]  babsmcnh: i was in a vc call - pretty much everyone thought it was garbage OMEGALUL
[09:09:17]  babsmcnh: it was meh
[09:09:28]  babsmcnh: also did you get a new haircut?
[09:10:04]  babsmcnh: yeah but it shows they arent doing another mario kart until like 2025
[09:10:14]  babsmcnh: i was waiting for mk9 Sadge
[09:10:21]  babsmcnh: still dont have deluxe lol
[09:10:42]  babsmcnh: i was in here for like 10 minutes
[09:10:56]  chef_zack: i hope each pass isnt 25 each
[09:11:07]  babsmcnh: nah its 25 total
[09:11:08]  chef_zack: but knowing nintendo it probably is
[09:11:17]  babsmcnh: cuz im waiting for mk9
[09:11:37]  chef_zack: nah mk9 is dead
[09:11:44]  chef_zack: for the next 10 years
[09:11:45]  babsmcnh: if i get mk8 i'll basically have wasted 3 years waiting
[09:12:23]  babsmcnh: they showed that it was $25 for 48 new tracks during the direct
[09:12:31]  chef_zack: oh shit i misread it
[09:12:32]  babsmcnh: if its not im suing
[09:12:50]  chef_zack: waves 1-6 is 24.99
[09:12:56]  chef_zack: thats really good
[09:13:07]  babsmcnh: i was holding back getting mk8 deluxe cuz i thought mk9 was coming out
[09:13:19]  babsmcnh: im stupid basically
[09:13:26]  chef_zack: might as well buy it now
[09:13:27]  babsmcnh: OMEGALUL
[09:13:45]  chef_zack: im talking about babs
[09:13:50]  babsmcnh: nah i cant
[09:13:59]  babsmcnh: id have to buy the base game
[09:14:01]  babsmcnh: and online
[09:14:06]  babsmcnh: and the expansion
[09:14:08]  babsmcnh: nah.
[09:14:20]  chef_zack: what expansion
[09:14:25]  babsmcnh: i'll just replay my old shitty game
[09:14:38]  babsmcnh: the $25 thing we're talking about
[09:14:41]  babsmcnh: thats the expansion
[09:14:53]  chef_zack: gotcha
[09:15:02]  babsmcnh: it isnt free if you have normal online
[09:15:05]  babsmcnh: so sucky
[09:15:14]  chef_zack: i was clearifying cause they also call the expansion pak which includes said dlc
[09:15:20]  babsmcnh: yeyyey
[09:15:32]  babsmcnh: id either have to get that or both of them separately
[09:15:46]  babsmcnh: either way i already bought $40 of games recently
[09:15:54]  babsmcnh: need to save money Sadge
[09:16:11]  babsmcnh: POGGERS LAVA BOOST MY FAVOURITE
[09:16:29]  babsmcnh: my streamer :))))
[09:16:34]  babsmcnh: also
[09:16:37]  babsmcnh: i forgot
[09:16:46]  babsmcnh: how you doing zetto HYPERS
[09:16:52]  babsmcnh: also how you @Chef_Zack
[09:17:04]  babsmcnh: hope you guys are feeling okay
[09:17:19]  babsmcnh: ...
[09:17:25]  chef_zack: p good day so f ar
[09:17:34]  babsmcnh: -_- care to explain that zetto
[09:17:42]  babsmcnh: @Chef_Zack nice :3
[09:17:58]  babsmcnh: im so delayed on my browser
[09:18:28]  babsmcnh: edge
[09:18:34]  chef_zack: edge isnt too bad
