# Start logging at 2022-01-13 01:45:31 Tokyo Standard Time
[01:45:31]  ktrzetto: test
[12:41:48]  chef_zack: well most high end ones tilt vertically anyways
[12:42:15]  laurabraus: but just getting one for twitch chat....you gotta be famous
[12:42:15]  chef_zack: yeah
[12:43:00]  chef_zack: id imagine most people put it up on their 2nd monitor
[12:44:45]  chef_zack: LUL
[12:46:50]  chef_zack: cant believe kirby is 30
[12:47:12]  chef_zack: yeah
[12:48:13]  beachy710: gl
[12:53:01]  chef_zack: Pog owless 🦉
[12:53:03]  chef_zack: OMEGALUL
[12:53:10]  lexythefoxy: o/
[12:53:25]  lexythefoxy: not much how have you been?
[12:53:58]  lexythefoxy: ewww stinky ktr
[12:54:16]  lexythefoxy: oh true true
[12:54:44]  lexythefoxy: what is wrong with the shower
[12:55:11]  lexythefoxy: oh so just every American
[12:55:27]  chef_zack: true smasher BatChest
[12:56:18]  lexythefoxy: oh that not too bad cold showers are good for you wakes you up in the morning
[12:56:29]  lexythefoxy: :3
[12:57:25]  chef_zack: cold showers are good if you gradually bring the heat down
[12:57:50]  lexythefoxy: ewwwwww
[12:57:50]  chef_zack: yummy
[12:58:09]  lexythefoxy: a nice fine aged gamer
[12:59:15]  lexythefoxy: he probably has a trap on vr chat
[12:59:19]  lexythefoxy: KappaPride
[13:00:53]  lexythefoxy: pfft so cheaty
[13:02:17]  chef_zack: forsen 💿
[13:02:53]  chef_zack: no add docing instead
[13:03:13]  lexythefoxy: did you do the 3d puzzle yet?
[13:03:24]  chef_zack: no thats not the emote
[13:04:25]  lexythefoxy: wait is it fast to go backwards
[13:04:28]  chef_zack: https://7tv.app/emotes/603cd0152c7b4500143b46db
[13:04:59]  chef_zack: Pog
[13:05:05]  chef_zack: nice clip into ttc
[13:05:35]  lexythefoxy: Mario probably has but rash now
[13:06:04]  chef_zack: Pog
[13:06:15]  chef_zack: rip
[13:06:48]  lexythefoxy: awwww poor ktr
[13:07:50] lexythefoxy redeemed Dab 200
[13:08:11]  lexythefoxy: you seem tired
[13:08:45]  chef_zack: tired of winning EZ
[13:08:51]  lexythefoxy: get you self some tee
[13:08:57]  lexythefoxy: tea*
[13:09:47]  lexythefoxy: or coffee
[13:09:57]  lexythefoxy: or caffeine tablets
[13:11:28]  lexythefoxy: yeps at least here in America
[13:11:31]  chef_zack: ive never heard of caffeine tablets
[13:11:56]  chef_zack: usually people just get an energy drink
[13:12:54]  chef_zack: well u have to drink alot of them
[13:12:57]  chef_zack: like 4
[13:12:59]  lexythefoxy: the caffeine tablets go by the brand name vivarin
[13:13:14]  chef_zack: yeah that guys gonna get like kidney stones or die
[13:14:00]  chef_zack: its reliable
[13:14:58]  chef_zack: sounds like an eyedrops brand
[13:17:40]  lexythefoxy: I going to bed now ktr nini
[13:17:47]  lexythefoxy: have a good one
[13:18:00]  lexythefoxy: hope you beat your pb
[13:27:52]  chef_zack: BOOBIES sick emote
[13:28:08]  chef_zack: nah its based
[13:28:21]  chef_zack: good one
[13:28:55]  chef_zack: Pog
[13:34:47]  chef_zack: PepeLaugh
[13:37:41]  andrewangus: is this the run
[13:47:56]  andrewangus: ゆっくり LULW
[13:50:01]  musicelliott: Yo what’s up, this is Bob, decided to go by my actual name a couple weeks ago haha
[13:50:27]  chef_zack: ktrzetYay
[13:51:07]  musicelliott: Yo this is crazy, I changed my name to this and 3 days later Bob Saget passed away
[13:51:33]  chef_zack: bob killed bob saget
[13:51:47]  chef_zack: like a sk!nwalker monkaS
[13:52:27]  chef_zack: cause you're not supposed to say it monkaS
[13:52:34]  musicelliott: 🧐 I cannot say anything further. These messages will self destruct 💥
[13:53:00]  chef_zack: it comes from native american legends
[13:53:52]  chef_zack: the creature?
[13:54:01]  musicelliott: Looks like I won’t be getting to Japan anytime in the next 100 years so I probably will never have access to those files you have
[13:54:05]  andrewangus: MILKING THE CREATURE LULW ?
[13:54:22]  chef_zack: i have never heard that in my life
[13:54:40]  andrewangus: that's hilarious
[13:55:21]  chef_zack: i looked it up and all i get is a star wars creature who gets milked
[13:55:46]  chef_zack: nice
[13:55:56]  andrewangus: cjerk milking my creature
[13:57:08]  chef_zack: ok maybe thats where it came from
[13:58:29]  chef_zack: star wars fans are crazy
[13:58:59]  chef_zack: they're ok movies
[13:59:19]  chef_zack: but alot of people i think like them for nostalgia.
[13:59:57]  andrewangus: i like the star wars movies :)
[14:00:16]  andrewangus: true LUL
[14:00:21]  chef_zack: they're mediocre
[14:01:35]  kippykat4774: Hello I came for the succ and fucc combo
[14:01:41]  andrewangus: lol
[14:02:21]  kippykat4774: lmfao
[14:02:48]  kippykat4774: no?
[14:02:49]  saltychildofthesea: suck and fuck shortage Sadge
[14:02:54]  chef_zack: i think theres a meat shortage
[14:03:01]  kippykat4774: no meat shortage on my end
[14:03:13]  kippykat4774: just had some meat this morning
[14:03:39]  chef_zack: Prayge hope japan gets its potatos
[14:03:51]  kippykat4774: no hashiebrowns?
[14:05:02]  kippykat4774: yezh
[14:05:13]  kippykat4774: I'll wake you up in the morning ;)
[14:05:42]  andrewangus: mcdonalds pancakes are good af
[14:05:46]  kippykat4774: they are
[14:05:51]  kippykat4774: especially their steak bagels
[14:06:11]  andrewangus: is that just a hamburger
[14:06:16]  kippykat4774: no lmfao
[14:06:30]  chef_zack: what the hell is a steak bagel
[14:06:34]  kippykat4774: omg!
[14:06:46]  kippykat4774: It's like my fav breakfast sammich from there besides a bacon mcgriddle
[14:07:53]  kippykat4774: https://www.mcdonalds.com/us/en-us/product/steak-egg-cheese-bagel.html
[14:08:12]  chef_zack: i like the mcmuffins
[14:09:42]  chef_zack: the folded egg or their fried egg
[14:10:17]  chef_zack: maybe they use milk  are you lactose intolerant?
[14:11:36]  chef_zack: ive heard it tastes like vomit to people outside of the us
[14:15:34]  chef_zack: Pog
[14:16:26]  kippykat4774: but we aren't going to want to die
[14:16:31]  kippykat4774: we go for best records or you a bitch
[14:16:50]  andrewangus: Prayge
[14:17:21]  andrewangus: Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge
[14:17:42]  andrewangus: POGGERS
[14:17:46]  kippykat4774: 1 more
[14:17:48]  kippykat4774: 1 more!
[14:17:52]  andrewangus: Pog
[14:17:53]  kippykat4774: YASSSSSS
[14:17:55]  andrewangus: Pog LETS GOOO
[14:18:00]  chef_zack: ktrzetYay
[14:18:05]  kippykat4774: the FUCC N SUCC COMBOOOOO
[14:18:09]  chef_zack: nearly a minute Pog
[14:18:16]  andrewangus: what a time save Pog
[14:18:21]  chef_zack: WHAT
[14:18:37]  chef_zack: ktrzetWorse Clap LAST SPAM
[14:18:51]  chef_zack: ktrzetWorse
[14:19:40]  kippykat4774: I'll eat the cock hold the hair though
[14:20:01]  303devilfish: clintJAM
[14:21:11]  andrewangus: look at those green splits Kreygasm
[14:23:19]  chef_zack: insane
[14:23:47]  chef_zack: mario sunshine EZ
[14:24:13]  chef_zack: it better not be fire electric pen
[14:24:16] 15 raiders from krystenxo have joined!
[14:24:19]  itz_me_coreyyy: 2 PB's IN ONE NIGHT!!!! NEW PB 18:26  kryste6Smile   kryste6Smile   kryste6Smile 2 PB's IN ONE NIGHT!!!! NEW PB 18:26  kryste6Smile   kryste6Smile   kryste6Smile 2 PB's IN ONE NIGHT!!!! NEW PB 18:26  kryste6Smile   kryste6Smile   kryste6Smile
[14:24:20]  krystenxo: 2 PB's IN ONE NIGHT!!!! NEW PB 18:26 kryste6Smile kryste6Smile kryste6Smile
[14:24:24]  airbrush45: 2 PB's IN ONE NIGHT!!!! NEW PB 18:26 kryste6Smile kryste6Smile kryste6Smile
[14:24:26]  sinthicc: kryste6Smile kryste6Smile kryste6Smile kryste6Smile kryste6Smile kryste6Smile
[14:24:28]  dertubiz: 2 PB's IN ONE NIGHT!!!! NEW PB 18:26  kryste6Smile   kryste6Smile   kryste6Smile
[14:24:32]  groovyninji: 2 PB's IN ONE NIGHT!!!! NEW PB 18:26 kryste6Smile kryste6Smile kryste6Smile kryste6Bless kryste6Bless kryste6Bless
[14:24:36]  bigmanoncampus88: 2 PB's IN ONE NIGHT!!!! NEW PB 18:26  kryste6Smile   kryste6Smile   kryste6Smile
[14:24:39]  krystenxo: i did, i see you did too
[14:24:45]  andrewangus: two great pbs Pog
[14:24:56]  krystenxo: damn 3 second difference between me and you lol
[14:25:07]  saltychildofthesea: did i miss a pb? Sadge wtf
[14:25:12]  krystenxo: we gotta race again
[14:25:20]  tlk_777: wens racing each other
[14:25:33]  sinthicc: 👀👀👀👀
[14:25:33]  musicelliott: Two peanut butters in the same night ktrzetYay
[14:25:42]  krystenxo: WHOA
[14:25:47]  krystenxo: i barely know 70 lol
[14:25:49]  ktrzetto: !so krystenxo
[14:25:49]  nightbot: Check out krystenxo who was last seen playing "Super Mario 64". Give them a follow at twitch.tv/krystenxo
[14:25:56]  krystenxo: im learning rn
[14:26:19]  krystenxo: well gg on your pb dude!
[14:28:06]  saltychildofthesea: oh no no no PepeLaugh
[14:28:59]  rinta_rnt: イイゾイイゾ～
[14:30:01]  saltychildofthesea: NOOO SadCatW
[14:30:43]  tracerpi: hi
[14:32:26]  saltychildofthesea: this game is so infuriating FeelsNothingMan
[14:33:50]  saltychildofthesea: speedrunning fire electric pen daphPain
[14:34:04]  tracerpi: so a n64 japanese game show game?
[14:35:23]  tracerpi: nothin is hard
[14:37:13]  saltychildofthesea: the music is monkaW
[14:38:31]  saltychildofthesea: this is frame perfect: the game
[14:39:04]  fredmanftw: I don't remember this part of mario o-o
[14:39:19]  saltychildofthesea: its hazy maze cave 4Head
[14:39:36]  fredmanftw: Zetto is made of steel cuppyShocked
[14:39:39]  chef_zack: LOL
[14:39:59]  fredmanftw: Sick :O
[14:40:08]  fredmanftw: What do we get if we complete it
[14:40:14]  fredmanftw: does mario finally get lucky?
[14:41:01]  saltychildofthesea: the map in hmc is like maps from the 1200's
[14:41:51]  fredmanftw: ah i see, shit talkin rights is what u get
[14:42:48]  fredmanftw: wow o-o
[14:43:29]  fredmanftw: Same dude was like i need moar records
[14:44:19]  saltychildofthesea: POGGERS i can be on the leaderboard
[14:44:30]  saltychildofthesea: speedrunning the game rn
[14:44:34]  saltychildofthesea: Prayge
[14:45:37]  saltychildofthesea: real last try COPIUM
[14:46:13]  saltychildofthesea: Prayge one more
[14:46:19] fredmanftw redeemed Sound Alert: Fail Trompete 500
[14:46:41]  fredmanftw: True dat
[14:46:56]  fredmanftw: bauldiAscend
[14:47:27]  saltychildofthesea: Prayge Prayge Prayge
[14:47:38]  fredmanftw: Damn that parts hard
[14:47:48]  saltychildofthesea: Sadge
[14:47:55]  fredmanftw: cuppyYouTried
[14:48:04]  fredmanftw: There's your commemorative sticker
[14:48:07]  saltychildofthesea: Pog 18:23 PB
[14:48:30] The raid has been canceled.
[14:48:31]  fredmanftw: Have a great night Zetto, enjoy your meal!
[14:48:36]  saltychildofthesea: gn HYEPRS
[14:48:36]  nightbot: https://clips.twitch.tv/GeniusCovertSalmonItsBoshyTime-NECqGzkggZv8lT-v
[14:48:38]  saltychildofthesea: HYPERS
[14:48:59] ktrZetto is now offline.
[14:49:11] Now hosting kaileighh.
[16:44:07] kaileighh has gone offline. Exiting host mode.
